HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Minimum Submitted Charge Amount,Maximum Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Allowed Amount,Minimum Medicare Allowed Amount,Maximum Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Medicare Payment Amount,Minimum Medicare Payment Amount,Maximum Medicare Payment Amount,Standard Deviation of Medicare Payment Amount
A9524,"Iodine i-131 iodinated serum albumin, diagnostic, per 5 microcuries",N,O,12,215,70,74,310.39,196.52,985.00,236.22,61.26,61.13,61.75,0.25,48.85,43.77,49.40,0.88
A9526,"Nitrogen n-13 ammonia, diagnostic, per study dose, up to 40 millicuries",N,O,72,1814,1032,1037,391.92,158.22,625.00,93.75,264.83,82.41,445.59,85.37,211.15,65.93,356.47,68.81
A9528,"Iodine i-131 sodium iodide capsule(s), diagnostic, per millicurie",N,O,178,1575,513,522,89.62,3.41,1125.00,130.96,35.49,3.41,399.60,26.64,27.59,0.00,207.68,20.61
A9529,"Iodine i-131 sodium iodide solution, diagnostic, per millicurie",N,O,3,324,15,16,14.76,11.32,250.00,22.77,13.25,10.89,206.67,18.70,10.60,8.71,165.33,14.96
A9530,"Iodine i-131 sodium iodide solution, therapeutic, per millicurie",N,O,19,2066,67,70,18.38,1.05,800.00,25.14,15.94,1.05,181.75,6.75,12.75,0.84,145.40,5.40
A9531,"Iodine i-131 sodium iodide, diagnostic, per microcurie (up to 100 microcuries)",N,O,92,1522,427,430,29.54,0.38,150.50,25.71,9.13,0.38,96.58,12.40,7.25,0.24,77.26,9.89
A9537,"Technetium tc-99m mebrofenin, diagnostic, per study dose, up to 15 millicuries",N,O,2208,13598,13564,13596,100.59,8.61,1253.00,106.06,48.88,1.00,400.00,25.41,38.37,0.00,320.00,20.42
A9538,"Technetium tc-99m pyrophosphate, diagnostic, per study dose, up to 25 millicuries",N,O,533,3334,3218,3333,168.94,2.85,1000.00,216.13,122.66,1.00,551.03,194.01,97.04,0.00,440.00,153.58
A9539,"Technetium tc-99m pentetate, diagnostic, per study dose, up to 25 millicuries",N,O,377,1975,1735,1770,68.39,2.91,1000.00,83.05,21.16,2.91,425.00,17.03,16.68,0.00,340.00,13.66
A9540,"Technetium tc-99m macroaggregated albumin, diagnostic, per study dose, up to 10 millicuries",N,O,648,2665,2588,2608,58.23,8.50,1000.00,79.67,26.80,8.50,227.00,19.89,21.08,0.00,181.60,15.78
A9541,"Technetium tc-99m sulfur colloid, diagnostic, per study dose, up to 20 millicuries",N,O,1707,11542,11421,11518,114.63,10.52,1000.00,97.88,61.27,8.20,800.00,38.86,48.23,0.00,640.00,31.25
A9543,"Yttrium y-90 ibritumomab tiuxetan, therapeutic, per treatment dose, up to 40 millicuries",N,O,38,57,57,57,53390.13,21639.10,96508.13,17439.95,38250.56,21639.10,43953.84,4390.77,30144.61,13688.39,35163.07,4650.50
A9547,"Indium in-111 oxyquinoline, diagnostic, per 0.5 millicurie",N,O,72,1775,196,198,152.00,5.55,8295.00,458.87,70.50,5.55,3165.00,185.75,55.47,4.44,2532.00,146.74
A9548,"Indium in-111 pentetate, diagnostic, per 0.5 millicurie",N,O,59,148,119,121,1695.78,310.28,7467.00,1478.12,683.96,310.28,7467.00,867.28,544.14,25.19,5973.60,695.18
A9551,"Technetium tc-99m succimer, diagnostic, per study dose, up to 10 millicuries",N,O,25,100,100,100,255.54,150.00,1070.00,124.16,192.15,124.50,505.82,64.62,151.57,99.60,404.66,51.78
A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",N,F,12,48,48,48,248.33,9.00,910.00,229.29,200.92,9.00,454.85,95.74,160.74,7.20,363.88,76.59
A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",N,O,3518,285730,238469,285613,543.37,100.70,5000.00,326.91,285.70,29.48,792.65,121.75,227.01,0.00,634.12,97.20
A9554,"Iodine i-125 sodium iothalamate, diagnostic, per study dose, up to 10 microcuries",N,O,3,1122,954,1122,920.86,885.00,924.31,2.99,640.40,640.40,640.40,0.00,502.10,500.92,614.78,7.64
A9555,"Rubidium rb-82, diagnostic, per study dose, up to 60 millicuries",N,F,7,24,12,12,730.00,730.00,730.00,0.00,291.88,291.88,291.88,0.00,233.51,233.51,233.51,0.00
A9555,"Rubidium rb-82, diagnostic, per study dose, up to 60 millicuries",N,O,610,96466,49490,49857,740.64,130.00,2908.19,534.48,331.89,127.59,1751.27,126.93,264.15,52.50,1401.02,101.16
A9556,"Gallium ga-67 citrate, diagnostic, per millicurie",N,O,121,916,243,249,107.89,1.25,1200.00,147.97,56.21,1.25,1138.00,57.69,44.41,1.00,910.40,46.30
A9557,"Technetium tc-99m bicisate, diagnostic, per study dose, up to 25 millicuries",N,O,10,110,62,62,559.94,417.53,2749.00,423.35,528.22,417.53,1726.00,336.60,402.80,328.21,1265.60,229.91
A9558,"Xenon xe-133 gas, diagnostic, per 10 millicuries",N,O,90,1086,572,577,88.95,5.00,350.00,46.85,66.25,5.00,88.13,21.47,51.03,0.00,70.51,16.06
A9560,"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30 millicuries",N,O,1870,9866,9152,9687,159.55,10.92,1500.00,90.34,96.67,1.27,580.00,39.32,76.41,0.00,464.00,30.86
A9561,"Technetium tc-99m oxidronate, diagnostic, per study dose, up to 30 millicuries",N,O,512,8420,7967,8415,90.14,11.62,443.76,97.03,45.30,11.62,400.00,55.56,35.67,3.70,320.00,43.72
A9562,"Technetium tc-99m mertiatide, diagnostic, per study dose, up to 15 millicuries",N,O,913,4802,4648,4777,537.70,2.54,4924.00,343.70,390.03,2.54,600.00,171.69,308.93,0.00,480.00,136.86
A9567,"Technetium tc-99m pentetate, diagnostic, aerosol, per study dose, up to 75 millicuries",N,O,354,1125,1119,1121,82.28,10.00,800.00,72.05,34.59,6.57,250.00,20.74,27.44,0.00,200.00,16.65
A9568,"Technetium tc-99m arcitumomab, diagnostic, per study dose, up to 45 millicuries",N,O,5,112,58,63,278.13,3.00,500.00,247.07,276.98,0.43,500.00,248.35,221.58,0.34,400.00,198.68
A9569,"Technetium tc-99m exametazime labeled autologous white blood cells, diagnostic, per study dose",N,O,99,179,179,179,1986.28,140.00,3810.00,747.10,1305.08,37.75,3585.52,456.97,1042.82,30.20,2868.42,366.35
A9570,"Indium in-111 labeled autologous white blood cells, diagnostic, per study dose",N,O,140,441,439,440,2151.61,90.00,7178.00,1060.11,1442.06,59.01,3559.50,476.24,1135.99,47.21,2847.60,378.94
A9572,"Indium in-111 pentetreotide, diagnostic, per study dose, up to 6 millicuries",N,O,203,588,536,552,3803.62,282.50,16125.00,2269.52,2331.12,2.00,6470.64,1174.17,1845.24,1.60,5176.51,941.31
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Y,O,625,195780,12076,12404,5.57,1.20,400.00,6.30,1.86,1.20,1.95,0.16,1.45,0.00,1.56,0.16
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Y,O,2858,932743,61543,63630,7.49,0.97,285.00,9.76,2.29,0.73,4.41,0.33,1.78,0.00,3.53,0.27
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Y,O,212,82355,6308,6766,8.88,2.24,50.00,10.69,2.16,1.96,2.25,0.05,1.70,0.69,1.80,0.05
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Y,F,8,391,24,24,8.50,8.50,8.50,0.00,2.10,2.09,2.12,0.02,1.68,1.67,1.69,0.01
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Y,O,10776,5665140,346442,362880,7.37,0.01,638.63,9.01,1.96,0.01,2.23,0.09,1.54,0.00,1.78,0.09
A9580,"Sodium fluoride f-18, diagnostic, per study dose, up to 30 millicuries",N,O,683,5646,5201,5636,556.77,1.00,6589.44,573.16,162.13,1.00,1328.00,76.39,129.54,0.80,1062.40,61.18
A9581,"Injection, gadoxetate disodium, 1 ml",Y,O,919,42265,4160,4407,32.21,2.50,1300.00,42.33,15.89,1.20,150.00,9.66,12.54,0.00,120.00,7.66
A9582,"Iodine i-123 iobenguane, diagnostic, per study dose, up to 15 millicuries",N,O,24,29,29,29,3429.74,1900.00,7219.00,1313.86,2422.24,14.87,3997.51,846.74,1844.30,0.00,3198.01,747.65
A9583,"Injection, gadofosveset trisodium, 1 ml",Y,O,132,3458,348,350,28.87,1.72,366.67,24.00,13.80,1.28,38.67,4.27,10.91,1.02,30.94,3.32
A9584,"Iodine 1-123 ioflupane, diagnostic, per study dose, up to 5 millicuries",N,O,68,1204,751,751,1751.11,2.00,6552.00,1572.31,1213.41,2.00,2700.09,966.68,963.88,1.60,2160.08,768.36
A9585,"Injection, gadobutrol, 0.1 ml",Y,O,1641,2179548,34888,36124,2.57,0.03,1200.00,6.18,0.96,0.03,52.79,1.04,0.76,0.02,42.23,0.83
A9600,"Strontium sr-89 chloride, therapeutic, per millicurie",N,O,10,31,13,13,2953.98,1872.00,8364.55,1288.70,1782.28,940.40,8312.05,1504.49,1424.70,742.17,6649.64,1204.21
A9604,"Samarium sm-153 lexidronam, therapeutic, per treatment dose, up to 150 millicuries",N,O,57,100,96,97,11685.16,4570.00,37500.00,4666.52,7445.65,125.00,9500.00,1726.38,5956.52,100.00,7600.00,1381.11
A9698,"Non-radioactive contrast imaging material, not otherwise classified, per study",N,O,14,226,197,202,30.08,5.10,245.00,36.38,28.13,5.10,245.00,36.62,22.47,4.08,196.00,29.31
A9700,"Supply of injectable contrast material for use in echocardiography, per study",N,O,83,471,449,453,281.85,0.65,600.00,97.00,138.78,0.65,600.00,60.27,109.58,0.02,480.00,48.14
C2635,"Brachytherapy source, non-stranded, high activity, paladium-103, greater than 2.2 mci (nist), per source",N,F,3,145,20,20,375.08,65.00,4875.00,670.56,121.38,26.98,4875.00,562.42,97.10,21.58,3900.00,449.94
C2638,"Brachytherapy source, stranded, iodine-125, per source",N,F,33,40978,546,546,49.96,28.30,5014.71,73.38,42.80,19.00,4947.86,66.20,34.07,15.20,3958.29,52.98
C2639,"Brachytherapy source, non-stranded, iodine-125, per source",N,F,44,40009,725,725,32.73,8.65,3168.00,23.70,25.91,8.51,3168.00,18.58,20.72,6.81,2534.40,14.86
C2640,"Brachytherapy source, stranded, palladium-103, per source",N,F,25,13089,138,138,72.44,26.00,232.00,31.91,63.17,26.00,80.04,10.44,49.99,20.80,64.03,8.87
C2641,"Brachytherapy source, non-stranded, palladium-103, per source",N,F,33,15960,185,185,78.44,17.00,231.27,34.43,61.08,11.56,90.31,7.47,48.56,9.25,72.25,6.14
C2642,"Brachytherapy source, stranded, cesium-131, per source",N,F,5,3955,64,64,118.32,70.20,423.40,96.62,91.04,69.01,121.67,23.78,72.00,53.63,97.34,19.80
C2643,"Brachytherapy source, non-stranded, cesium-131, per source",N,F,6,1789,36,36,134.19,63.00,166.29,33.96,75.60,63.00,77.31,4.40,60.48,50.40,61.85,3.52
C2698,"Brachytherapy source, stranded, not otherwise specified, per source",N,F,1,316,28,28,44.45,44.45,44.45,0.00,44.02,44.02,44.02,0.00,32.87,32.87,32.87,0.00
C9250,"Human plasma fibrin sealant, vapor-heated, solvent-detergent (artiss), 2ml",N,F,18,97,88,97,356.84,50.00,983.56,159.46,117.86,50.00,137.17,14.07,94.29,40.00,109.74,11.26
C9257,"Injection, bevacizumab, 0.25 mg",N,F,37,9704,1661,4110,294.88,1.06,2600.00,745.09,1.51,0.51,25.76,0.87,1.18,0.41,20.61,0.70
C9279,"Injection, ibuprofen, 100 mg",N,F,1,871,30,30,3.44,3.44,3.44,0.00,1.35,1.35,1.35,0.00,1.08,1.08,1.08,0.00
C9285,"Lidocaine 70 mg/tetracaine 70 mg, per patch",N,F,6,619,212,332,62.72,17.00,537.50,27.43,13.24,13.22,13.27,0.01,10.59,10.58,10.62,0.01
C9290,"Inj, bupivacaine liposome",N,F,23,14715,91,93,3.94,0.75,1330.00,30.48,1.10,0.75,1.14,0.11,0.88,0.60,0.91,0.09
C9291,"Injection, aflibercept",N,F,15,210,106,158,1699.84,100.00,4000.00,1164.82,1343.27,100.00,1961.00,767.72,1074.61,80.00,1568.80,614.17
C9366,"Epifix, per square centimeter",N,F,9,382,18,19,211.62,108.64,4990.00,261.44,129.79,102.05,144.81,13.93,103.83,81.64,115.85,11.14
C9726,Placement and removal (if performed) of applicator into breast for radiation therapy,N,F,4,19,19,19,19675.58,1200.00,20702.00,4354.74,802.90,567.28,1012.95,199.59,642.32,453.82,810.36,159.67
D7140,"Extraction, erupted tooth or exposed root (elevation and/or forceps removal)",N,F,86,803,145,146,159.33,48.00,1000.00,64.17,57.85,1.27,109.40,18.13,46.21,1.02,87.52,14.45
D7140,"Extraction, erupted tooth or exposed root (elevation and/or forceps removal)",N,O,132,1025,166,166,127.51,12.69,2200.00,122.89,54.58,7.20,2200.00,93.88,43.54,0.00,1760.00,75.12
D7210,"Surgical removal of erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated",N,F,64,647,98,98,214.94,30.97,3000.00,141.83,92.70,1.00,185.41,53.31,74.16,0.80,148.33,42.65
D7210,"Surgical removal of erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated",N,O,105,476,122,126,223.54,16.25,450.00,80.84,106.14,1.00,185.41,52.63,83.87,0.80,148.33,42.35
D7240,Removal of impacted tooth-completely bony,N,F,12,28,13,13,247.54,110.00,615.00,164.86,93.21,1.00,300.00,125.20,74.57,0.80,240.00,100.16
D9940,"Occlusal guards, by report",N,O,15,205,204,205,916.67,130.00,1160.00,201.81,452.83,130.00,467.28,52.53,359.15,104.00,373.82,41.43
E0746,"Electromyography (emg), biofeedback device",N,O,7,58,33,58,144.40,85.00,150.00,18.24,75.75,62.16,150.00,10.55,60.60,49.73,120.00,8.44
E0781,"Ambulatory infusion pump, single or multiple channels, electric or battery operated, with administrative equipment, worn by patient",N,O,41,2486,183,2486,557.30,50.00,2025.00,246.28,274.37,50.00,284.50,18.98,218.17,40.00,227.60,16.71
E1399,"Durable medical equipment, miscellaneous",N,O,23,184,36,150,280.32,0.95,1429.20,252.03,7.52,0.95,32.24,4.40,5.95,0.76,25.79,3.56
G0008,Administration of influenza virus vaccine,N,F,1521,13502,13434,13501,30.41,0.01,225.00,14.93,21.50,0.01,30.91,5.87,21.44,0.00,30.91,5.94
G0008,Administration of influenza virus vaccine,N,O,193630,13474802,13384477,13474325,26.16,0.01,1125.00,10.85,21.47,0.01,35.39,3.83,21.45,0.00,35.39,3.83
G0009,Administration of pneumococcal vaccine,N,F,600,2318,2215,2220,34.98,5.00,103.00,13.56,22.81,5.00,30.91,3.88,22.67,0.00,30.91,4.15
G0009,Administration of pneumococcal vaccine,N,O,129457,1372759,1367079,1372434,29.31,0.01,1086.59,15.63,22.15,0.01,30.91,4.09,22.10,0.00,30.91,4.10
G0010,Administration of hepatitis b vaccine,N,F,118,267,226,262,30.70,10.00,75.00,13.56,22.71,10.00,30.91,4.42,22.71,10.00,30.91,4.42
G0010,Administration of hepatitis b vaccine,N,O,14101,42144,30667,41910,33.43,0.01,625.00,18.00,22.58,0.01,30.91,4.89,22.54,0.00,30.91,4.92
G0027,Semen analysis; presence and/or motility of sperm excluding huhner,N,O,4,463,199,463,19.03,19.00,28.00,0.44,9.21,9.21,9.21,0.00,9.21,9.21,9.21,0.00
G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,F,7266,54878,54875,54875,72.52,0.17,851.00,41.34,26.31,0.17,35.27,2.17,26.29,0.00,35.27,2.18
G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,O,64309,1052224,1052159,1052160,75.60,0.01,2387.35,41.60,36.94,0.01,85.77,3.07,36.89,0.00,85.77,3.10
G0102,Prostate cancer screening; digital rectal examination,N,F,578,2947,2946,2946,35.52,8.59,210.00,16.29,8.72,7.04,9.86,0.43,5.03,0.00,7.89,1.61
G0102,Prostate cancer screening; digital rectal examination,N,O,6105,37402,37397,37397,37.87,0.01,354.93,16.38,19.16,0.01,24.43,1.90,10.93,0.00,19.48,3.58
G0103,Prostate cancer screening; prostate specific antigen test (psa),N,F,14,73,73,73,60.22,26.00,94.00,11.79,26.06,26.00,26.06,0.01,22.58,5.91,26.06,5.13
G0103,Prostate cancer screening; prostate specific antigen test (psa),N,O,20209,1393814,1393777,1393777,91.30,0.01,526.80,36.91,26.01,0.01,26.09,0.46,25.96,0.00,26.06,0.54
G0104,Colorectal cancer screening; flexible sigmoidoscopy,N,F,1334,2006,2005,2006,487.82,9.00,6200.00,655.21,67.20,9.00,141.81,21.24,66.96,0.00,141.81,21.52
G0104,Colorectal cancer screening; flexible sigmoidoscopy,N,O,334,722,722,722,237.51,5.00,1000.00,153.48,124.27,5.00,180.36,45.97,123.82,0.00,180.36,46.47
G0105,Colorectal cancer screening; colonoscopy on individual at high risk,N,F,15269,362619,361867,362581,1091.63,113.10,11988.57,744.31,249.58,30.62,451.15,51.72,249.09,0.00,451.15,51.79
G0105,Colorectal cancer screening; colonoscopy on individual at high risk,N,O,1140,7347,7333,7347,1016.72,0.01,9310.00,496.52,403.67,0.01,492.96,50.53,402.42,0.00,492.96,51.19
J2060,"Injection, lorazepam, 2 mg",Y,O,4512,56753,22225,55649,11.24,0.01,199.50,14.23,0.91,0.01,1.34,0.12,0.72,0.00,1.08,0.11
G0106,"Colorectal cancer screening; alternative to g0104, screening sigmoidoscopy, barium enema",N,F,13,14,14,14,197.97,103.00,576.00,126.45,58.76,45.95,206.72,41.05,45.45,15.02,165.38,33.79
