HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
00164,Anesthesia for soft tissue biopsy on nose and sinus,N,F,239,289,286,288,960.71,134.08,103.35,104.36
00170,Anesthesia for procedure on mouth including biopsy,N,F,19333,34498,34274,34486,1195.78,165.55,125.29,126.36
00170,Anesthesia for procedure on mouth including biopsy,N,O,311,1138,1031,1137,799.76,142.52,106.11,108.50
00172,Anesthesia for procedure on mouth to repair palate deformity,N,F,79,80,80,80,1927.44,261.58,201.88,200.09
00174,Anesthesia for procedure on throat for removal of tumor,N,F,26,27,27,27,1202.75,191.40,145.30,151.84
00176,Anesthesia for surgery on mouth,N,F,1951,2399,2396,2398,3312.85,443.96,345.55,345.41
00190,Anesthesia for procedure on facial bones or skull,N,F,8936,11986,11911,11978,1568.48,211.68,163.19,163.52
00190,Anesthesia for procedure on facial bones or skull,N,O,95,123,121,123,1405.73,158.05,117.77,120.90
00192,Anesthesia for surgery of facial bones or skull,N,F,2339,2661,2655,2661,2364.05,318.02,246.21,247.34
00192,Anesthesia for surgery of facial bones or skull,N,O,19,19,19,19,1188.62,154.75,121.17,120.16
00210,Anesthesia for procedure on brain,N,F,17060,37018,36740,36986,3059.44,429.40,334.49,334.23
00210,Anesthesia for procedure on brain,N,O,13,13,13,13,2829.91,377.18,294.98,279.73
00211,Anesthesia for procedure to remove blood collection in brain,N,F,11220,15861,15723,15842,2390.15,318.17,247.91,247.15
00212,Anesthesia for procedure to remove fluid in brain,N,F,90,92,92,92,1231.60,156.95,122.31,123.01
00214,Anesthesia for procedure to create holes in skull including X-ray imaging,N,F,7334,9352,9321,9346,1898.17,260.40,202.81,202.78
00215,Anesthesia for procedure to repair skull or skull fracture,N,F,1914,2131,2109,2129,2295.15,314.37,244.28,243.72
00216,Anesthesia for procedure on blood vessel in brain,N,F,2201,2850,2838,2844,4020.94,573.06,446.81,445.64
00218,Anesthesia for procedure on brain patient in sitting position,N,F,427,508,506,508,3358.61,514.59,401.27,397.78
00220,Anesthesia for procedure to drain brain and spinal cord fluid,N,F,8998,12965,12771,12951,2150.17,290.58,225.94,225.88
00222,Anesthesia for procedure on nerve in brain,N,F,467,702,692,701,1105.73,169.98,131.02,130.17
00300,Anesthesia for procedure on esophagus and neck,N,F,59704,249730,245154,249618,1198.97,163.94,126.70,127.96
00300,Anesthesia for procedure on esophagus and neck,N,O,1341,4756,4379,4748,991.83,138.90,107.01,108.59
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",N,F,49831,169168,167731,169079,1504.98,203.88,158.20,158.83
00320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",N,O,433,946,930,946,1100.00,148.22,115.40,115.39
00322,Anesthesia for needle biopsy of thyroid,N,F,147,164,163,164,832.23,105.67,81.18,81.74
00322,Anesthesia for needle biopsy of thyroid,N,O,6,14,13,14,918.09,118.67,93.04,93.85
00350,Anesthesia for procedure on major blood vessels of neck,N,F,25084,63097,62576,62995,2350.35,328.57,256.00,257.96
00352,Anesthesia for tying procedure on major blood vessels of neck,N,F,9550,11987,11965,11986,1088.36,147.15,114.64,115.29
00352,Anesthesia for tying procedure on major blood vessels of neck,N,O,62,70,70,70,1011.60,138.35,108.23,107.15
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",N,F,67748,404370,397327,404210,908.67,119.99,92.68,93.14
00400,"Anesthesia for procedure on skin of arms, legs, or trunk",N,O,1631,6444,6316,6444,975.31,110.66,85.57,82.92
00402,Anesthesia for breast reconstruction,N,F,20185,35622,35079,35597,1814.04,245.80,189.05,190.37
00402,Anesthesia for breast reconstruction,N,O,427,859,840,858,1280.73,186.04,141.98,140.39
00404,Anesthesia for removal of breast,N,F,8220,11367,11332,11360,1583.30,231.51,179.79,181.65
00404,Anesthesia for removal of breast,N,O,78,111,111,111,1480.74,204.58,159.20,150.95
00406,Anesthesia for removal of breast and lymph nodes,N,F,364,484,483,484,2316.94,340.94,264.73,270.08
00410,Anesthesia for procedure to correct abnormal heart rhythm,N,F,28450,98797,97255,98738,627.69,83.47,64.40,64.50
00410,Anesthesia for procedure to correct abnormal heart rhythm,N,O,138,286,271,286,608.61,81.68,59.63,59.01
0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast",N,F,38,40,40,40,446.35,250.20,195.76,196.17
00450,Anesthesia for procedure on collar bone and shoulder blade,N,F,4749,5286,5264,5285,1443.16,202.08,156.65,158.00
00450,Anesthesia for procedure on collar bone and shoulder blade,N,O,45,46,45,46,1409.59,196.92,150.53,149.56
00454,Anesthesia for biopsy of collar bone,N,F,192,264,264,264,832.90,109.03,85.12,79.89
00454,Anesthesia for biopsy of collar bone,N,O,4,17,17,17,677.12,96.49,75.65,66.74
00470,Anesthesia for partial removal of rib,N,F,1987,2125,2119,2124,1631.17,220.64,170.27,171.90
00472,Anesthesia for partial removal of rib and chest wall repair,N,F,290,302,301,302,2608.06,365.37,285.69,283.06
00474,Anesthesia for partial removal of rib and chest wall reconstruction,N,F,199,206,206,206,3234.39,473.15,368.60,371.70
00500,Anesthesia for procedure on esophagus,N,F,2434,3325,3307,3325,4004.66,625.14,485.50,487.48
00520,Anesthesia for closed procedure in chest,N,F,37696,140032,137756,139979,1188.86,159.47,123.88,124.19
00520,Anesthesia for closed procedure in chest,N,O,178,325,321,324,1249.44,168.08,128.92,127.85
00522,Anesthesia for closed needle biopsy of lung,N,F,1559,2593,2586,2592,996.70,124.97,97.41,95.07
00522,Anesthesia for closed needle biopsy of lung,N,O,25,133,131,133,1101.09,143.90,112.82,115.85
00524,Anesthesia for closed drainage of lung fluid,N,F,1179,1353,1338,1353,1011.37,133.02,103.43,103.50
00524,Anesthesia for closed drainage of lung fluid,N,O,10,12,11,12,642.68,117.52,92.13,91.82
00528,Anesthesia for closed diagnostic examination of chest using an endoscope,N,F,6293,9204,9182,9200,1777.83,248.58,193.67,193.73
00528,Anesthesia for closed diagnostic examination of chest using an endoscope,N,O,24,29,29,29,1350.76,225.93,170.63,174.56
00529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,N,F,4533,6105,6093,6102,2328.09,321.67,250.81,251.25
00530,Anesthesia for insertion of permanent heart pacemaker,N,F,22357,73156,72888,73113,1331.54,170.18,132.29,130.93
00530,Anesthesia for insertion of permanent heart pacemaker,N,O,50,81,81,81,1258.60,142.15,108.61,108.18
00532,Anesthesia for central vein access,N,F,40872,133660,132398,133609,954.72,128.81,99.91,100.88
00532,Anesthesia for central vein access,N,O,490,2582,2477,2580,1002.21,149.76,116.66,112.02
00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,F,18170,53234,53038,53215,1732.95,226.57,175.76,175.33
00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,O,68,135,135,135,1307.09,180.90,137.31,138.61
00537,Anesthesia for procedure on heart to correct abnormal rhythm,N,F,22742,100286,99676,100234,2611.98,317.86,247.16,246.58
00537,Anesthesia for procedure on heart to correct abnormal rhythm,N,O,88,155,155,155,3017.47,305.29,231.29,224.78
00539,Anesthesia for reconstruction of windpipe and lung airway,N,F,233,244,244,244,4196.62,593.99,459.57,462.85
00540,Anesthesia for procedure in chest,N,F,7980,12319,12258,12309,2731.54,376.11,293.13,292.86
00541,Anesthesia for procedure in chest with 1 lung ventilation,N,F,16547,43095,42937,43075,3196.35,464.98,362.54,362.07
00541,Anesthesia for procedure in chest with 1 lung ventilation,N,O,9,11,11,11,4269.64,566.32,443.99,419.63
00542,Anesthesia for removal of lung lining,N,F,4982,6351,6329,6347,3222.83,439.36,343.35,343.56
00546,Anesthesia for lung removal and chest wall repair,N,F,87,97,97,97,3706.64,568.53,444.01,446.69
00548,Anesthesia for procedure on windpipe and lung airway,N,F,199,258,257,258,2690.41,470.76,365.58,372.19
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",N,F,5,115,111,115,343.00,142.49,111.19,111.97
00550,Anesthesia for removal of breast bone tissue,N,F,3728,5162,4954,5162,2165.87,312.28,243.36,243.66
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,N,F,9,24,24,24,518.80,136.49,107.00,107.00
00560,Anesthesia for procedure on heart and great blood vessels,N,F,10765,51288,50976,51212,3134.85,465.69,363.90,361.73
00560,Anesthesia for procedure on heart and great blood vessels,N,O,14,16,16,16,3837.37,542.45,424.24,412.32
00561,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, younger than 1 year of age",N,F,51,77,77,77,3311.83,585.66,453.28,472.52
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",N,F,9553,57952,57807,57903,4799.76,762.01,594.88,596.06
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,N,F,2055,5046,5034,5043,5986.97,918.46,718.03,718.62
00566,Anesthesia for heart artery bypass grafting,N,F,3259,9594,9584,9590,5076.55,785.05,612.49,619.13
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,N,F,10357,65814,65718,65780,4553.20,687.16,536.86,541.78
00580,Anesthesia for heart or heart-lung transplant,N,F,839,1852,1839,1851,6467.62,1050.82,815.79,814.32
00600,Anesthesia for procedure on upper spine and spinal cord,N,F,11471,20400,19865,20392,2281.94,311.77,241.67,245.07
00600,Anesthesia for procedure on upper spine and spinal cord,N,O,53,432,302,432,1410.46,258.38,197.61,194.58
00604,"Anesthesia for procedure on spine and spinal cord, patient in sitting position",N,F,272,325,323,324,2828.39,398.04,308.93,313.31
00620,Anesthesia for procedure on middle spine and spinal cord,N,F,8136,11855,11724,11845,2248.03,307.67,239.58,241.46
00620,Anesthesia for procedure on middle spine and spinal cord,N,O,59,144,125,144,1073.87,265.34,205.88,207.25
00625,Anesthesia for procedure on middle spine and spinal cord,N,F,443,487,485,487,3545.63,491.10,382.85,386.46
00626,Anesthesia for procedure on middle spine and spinal cord with 1 lung ventilation,N,F,195,199,199,199,4252.34,618.40,483.41,485.66
00630,Anesthesia for procedure on lower spine,N,F,38510,136743,133839,136702,1896.84,260.96,202.32,204.92
00630,Anesthesia for procedure on lower spine,N,O,367,2599,1813,2597,1213.31,213.38,164.15,162.33
00632,Anesthesia for removal of nerves in lower spine,N,F,48,51,51,51,1279.15,201.46,156.13,159.38
00635,Anesthesia for spinal tap,N,F,2262,3012,2703,3011,1023.60,142.58,110.01,110.92
00635,Anesthesia for spinal tap,N,O,9,11,11,11,814.77,144.64,113.39,116.63
00640,Anesthesia for closed manipulation of spine,N,F,1142,1467,1459,1467,962.13,121.84,94.83,93.41
00640,Anesthesia for closed manipulation of spine,N,O,19,42,39,42,678.64,116.22,87.26,85.33
00670,Anesthesia for procedure on spine and spinal cord,N,F,43445,248166,246562,248083,3136.48,430.72,335.19,337.60
00670,Anesthesia for procedure on spine and spinal cord,N,O,80,109,107,109,4189.89,451.77,349.28,359.49
00700,Anesthesia for procedure on upper front abdominal wall,N,F,15442,22221,21957,22211,1145.18,144.97,112.38,112.10
00700,Anesthesia for procedure on upper front abdominal wall,N,O,59,93,85,93,719.67,123.10,93.97,91.97
00702,Anesthesia for liver biopsy (accessed through the skin),N,F,1306,1778,1776,1778,1073.21,129.95,100.92,99.04
00702,Anesthesia for liver biopsy (accessed through the skin),N,O,25,128,127,128,851.79,134.35,104.70,105.63
00730,Anesthesia for procedure on upper rear abdominal wall,N,F,821,1067,1046,1067,1058.12,149.63,115.67,114.77
00730,Anesthesia for procedure on upper rear abdominal wall,N,O,15,31,26,31,744.97,113.60,89.06,80.32
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,F,69906,1852949,1812374,1851946,843.29,114.80,88.59,89.00
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,O,2995,49539,48257,49531,1126.65,136.85,105.23,100.27
00750,Anesthesia for procedure to repair upper abdominal hernia,N,F,17274,24028,24008,24023,1055.32,146.67,112.68,113.85
00750,Anesthesia for procedure to repair upper abdominal hernia,N,O,157,207,207,207,751.53,122.12,93.87,93.73
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,N,F,26657,46312,46249,46303,1570.91,223.57,172.48,174.16
01180,Anesthesia for removal of external pelvic nerve,N,F,9,12,12,12,799.83,220.21,172.65,171.50
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,N,O,147,176,176,176,1127.46,168.55,129.01,129.74
00754,Anesthesia for procedure to repair upper abdominal hernia present at birth,N,F,61,73,73,73,1251.06,246.44,179.43,194.77
00756,Anesthesia for procedure to repair abdominal hernia,N,F,424,482,482,482,2095.97,325.07,251.85,253.85
0075T,"Insertion of stents into vertebral artery via catheter, open or accessed through the skin including radiologic supervision and interpretation",N,F,68,92,90,92,2944.36,555.42,435.19,435.46
00770,Anesthesia for procedure on major abdominal blood vessels,N,F,6399,8364,8334,8357,3518.78,525.22,408.93,412.02
00770,Anesthesia for procedure on major abdominal blood vessels,N,O,21,713,633,713,3439.91,495.30,388.30,394.22
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,N,F,65302,479732,477052,479579,1796.44,250.35,194.28,195.55
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,N,O,496,837,837,837,1344.25,190.25,147.76,148.57
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,N,F,3611,4932,4922,4930,3409.35,498.01,387.35,385.39
00794,Anesthesia for removal of pancreas including use of an endoscope,N,F,5576,8375,8366,8367,3676.39,505.91,394.35,391.95
00796,Anesthesia for liver transplant recipient including use of an endoscope,N,F,866,2107,2090,2105,6906.99,1162.12,901.89,902.18
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,N,F,13955,30259,30186,30250,2319.51,310.97,240.30,242.76
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,N,O,15,17,17,17,3535.82,329.16,244.78,255.88
00800,Anesthesia for procedure on lower front abdominal wall,N,F,19515,27697,27404,27692,1009.32,131.94,102.13,102.73
00800,Anesthesia for procedure on lower front abdominal wall,N,O,126,175,167,175,779.50,113.67,87.92,87.26
00802,Anesthesia for removal of excess tissue on lower abdominal wall,N,F,2738,3000,2994,2997,1918.19,260.82,201.07,203.30
00802,Anesthesia for removal of excess tissue on lower abdominal wall,N,O,30,33,33,33,1211.26,177.76,139.20,139.27
00810,Anesthesia for procedure on lower intestine using an endoscope,N,F,65090,2348152,2335604,2347564,862.36,121.70,96.94,97.50
00810,Anesthesia for procedure on lower intestine using an endoscope,N,O,3424,97779,97044,97762,1148.10,146.55,115.44,110.17
00820,Anesthesia for procedure on lower rear abdominal wall,N,F,1514,1924,1887,1924,1164.63,156.58,120.97,120.52
00820,Anesthesia for procedure on lower rear abdominal wall,N,O,25,57,57,57,817.15,114.30,87.33,83.10
00830,Anesthesia for lower abdominal hernia repair,N,F,44215,119790,119590,119768,1144.65,159.09,122.36,122.77
00830,Anesthesia for lower abdominal hernia repair,N,O,517,1083,1082,1082,825.23,133.69,102.74,103.58
00832,Anesthesia for middle or incisional abdominal hernia repair,N,F,16386,25835,25809,25830,1654.91,216.23,166.93,168.45
00832,Anesthesia for middle or incisional abdominal hernia repair,N,O,84,105,105,105,895.89,147.99,114.77,115.26
00836,"Anesthesia for lower abdominal hernia repair, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",N,F,19,20,20,20,1336.04,212.46,160.66,166.95
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,N,F,60247,277894,276514,277786,1757.26,237.75,184.03,185.23
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,N,O,508,989,988,989,1380.98,187.36,144.37,140.94
00842,Anesthesia for removal of amniotic fluid in uterus including use of an endoscope,N,F,12,13,13,13,774.53,172.82,135.35,138.34
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,N,F,3387,3933,3929,3933,2750.65,387.24,300.18,302.89
00846,Anesthesia for removal of uterus including use of an endoscope,N,F,6491,9555,9553,9553,2538.00,338.96,263.52,262.37
00848,Anesthesia for removal of pelvic organs including use of an endoscope,N,F,570,610,610,610,3762.77,517.67,404.43,400.57
00851,Anesthesia for tying or incision of fallopian tubes using an endoscope,N,F,1231,1318,1318,1318,1131.19,159.96,120.28,123.71
00851,Anesthesia for tying or incision of fallopian tubes using an endoscope,N,O,22,23,23,23,1025.24,134.15,105.18,104.73
00860,Anesthesia for procedure in lower abdomen including urinary tract,N,F,29361,57907,57537,57888,1574.90,215.29,166.82,167.75
00860,Anesthesia for procedure in lower abdomen including urinary tract,N,O,265,593,565,593,1478.18,180.32,139.73,136.85
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,N,F,27109,54269,53986,54228,2190.36,296.50,231.43,232.59
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,N,O,88,134,123,134,1525.30,221.62,172.56,163.68
00864,Anesthesia for removal of urinary bladder,N,F,4312,5857,5855,5856,3503.02,493.80,385.10,383.03
00865,Anesthesia for removal of prostate,N,F,15305,27691,27678,27685,2455.72,342.46,265.27,266.70
00865,Anesthesia for removal of prostate,N,O,72,329,329,329,2048.30,341.14,267.05,240.54
00866,Anesthesia for removal of adrenal gland,N,F,1835,1989,1988,1988,2702.80,378.68,294.62,294.79
00868,Anesthesia for kidney transplant,N,F,6411,14117,14086,14108,3270.76,438.70,339.65,340.78
00870,Anesthesia for removal of urinary bladder stone,N,F,793,947,939,947,1252.09,178.33,137.69,138.65
00872,Anesthesia for shock wave therapy for urinary system stones,N,F,1098,2901,2805,2899,1349.19,192.66,149.36,148.41
00872,Anesthesia for shock wave therapy for urinary system stones,N,O,24,55,55,55,901.22,161.39,126.53,128.82
00873,Anesthesia for shock wave therapy for urinary system stones,N,F,23219,74091,72102,74067,1033.99,144.66,111.94,113.20
00873,Anesthesia for shock wave therapy for urinary system stones,N,O,322,1024,986,1024,812.25,134.37,104.11,104.48
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,N,F,5841,7656,7613,7649,3585.19,513.29,400.17,403.19
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,N,O,22,42,40,42,5749.73,467.50,366.52,369.69
00882,Anesthesia for tying of major vein in lower abdomen,N,F,138,163,161,163,2044.19,253.24,197.96,199.66
00902,Anesthesia for procedure on anus and rectum,N,F,39633,97195,96358,97159,1017.47,138.37,106.47,107.31
00902,Anesthesia for procedure on anus and rectum,N,O,885,3854,3783,3854,889.35,134.71,104.08,103.72
00904,Anesthesia for procedure on perineum,N,F,4662,5358,5313,5353,1803.75,245.69,190.82,191.68
00904,Anesthesia for procedure on perineum,N,O,32,36,36,36,1284.88,195.67,153.31,149.22
00906,Anesthesia for removal of external female genitalia,N,F,3281,3758,3749,3756,1057.88,137.80,105.93,106.41
00906,Anesthesia for removal of external female genitalia,N,O,53,65,65,65,826.09,115.13,88.58,88.60
00908,Anesthesia for removal of prostate,N,F,292,314,313,313,2037.01,264.49,205.53,207.42
00910,Anesthesia for procedure on urinary system including use of an endoscope,N,F,58106,366979,357948,366875,759.16,98.91,76.32,76.76
00910,Anesthesia for procedure on urinary system including use of an endoscope,N,O,1064,8932,8327,8931,919.13,104.86,80.96,78.80
00912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,N,F,40929,117978,115820,117952,1078.15,146.81,113.94,113.88
00912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,N,O,425,1005,976,1005,883.15,140.86,109.57,108.64
00914,Anesthesia for removal of prostate including use of an endoscope,N,F,37283,104285,104021,104255,1241.72,173.36,134.38,134.79
00914,Anesthesia for removal of prostate including use of an endoscope,N,O,374,1400,1390,1399,1556.62,188.47,145.95,140.95
00916,Anesthesia for procedure to control urinary system bleeding including use of an endoscope,N,F,1230,1376,1371,1374,1168.27,161.21,125.42,126.18
00918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",N,F,40214,119359,117919,119338,1141.24,154.61,119.83,120.78
00918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",N,O,344,784,781,784,848.65,143.75,111.70,112.68
00920,Anesthesia for procedure on male genitalia,N,F,25213,42394,42128,42372,978.18,130.73,100.59,101.38
00920,Anesthesia for procedure on male genitalia,N,O,330,505,501,505,947.60,116.47,90.62,90.47
00921,Anesthesia for vasectomy,N,F,128,132,132,132,990.38,111.58,81.84,84.97
00922,Anesthesia for procedure on male genitalia glands,N,F,37,40,40,40,1357.07,171.63,133.99,135.70
00924,Anesthesia for repair of undescended testicle,N,F,52,52,52,52,1296.34,170.04,132.98,135.16
00926,Anesthesia for removal of testicle through groin,N,F,1343,1379,1379,1379,1117.20,154.05,119.39,120.48
00928,Anesthesia for removal of testicle through abdomen,N,F,41,41,41,41,1205.46,174.57,135.02,139.10
00930,Anesthesia for relocation of undescended testicle into scrotum,N,F,350,361,360,361,1122.99,150.97,115.81,117.31
00932,Anesthesia for removal of penis,N,F,168,168,168,168,1935.23,240.00,186.25,186.41
00934,Anesthesia for removal of penis and lymph nodes on both sides of groin,N,F,32,32,32,32,2424.54,342.77,265.94,266.48
00936,Anesthesia for removal of penis and lymph nodes on both sides of groin,N,F,12,12,12,12,2498.41,309.78,242.69,242.77
00938,Anesthesia for insertion of penile prosthesis,N,F,4949,6980,6955,6980,1490.82,194.39,149.09,149.98
00938,Anesthesia for insertion of penile prosthesis,N,O,47,66,66,66,980.02,160.99,119.82,127.57
00940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",N,F,21479,32593,32202,32555,812.49,107.34,82.36,82.94
00940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",N,O,401,665,647,665,802.38,107.08,81.83,79.36
00942,Anesthesia for repair or removal of vagina and urinary procedure,N,F,14289,20655,20636,20650,1276.35,174.42,134.46,135.76
00942,Anesthesia for repair or removal of vagina and urinary procedure,N,O,73,87,87,87,1026.58,137.06,107.46,107.26
00944,Anesthesia for vaginal removal of uterus,N,F,13042,18394,18385,18393,1827.83,256.56,198.03,200.27
00944,Anesthesia for vaginal removal of uterus,N,O,42,51,51,51,1964.12,223.70,171.39,171.61
00948,Anesthesia for suture closure of cervix,N,F,239,242,241,242,926.59,128.20,97.88,98.28
00950,Anesthesia for examination of cervix using an endoscope,N,F,29,29,29,29,1190.35,174.24,136.17,133.51
00952,Anesthesia for examination of uterus using an endoscope,N,F,31459,64842,64738,64834,876.75,117.10,90.20,90.41
00952,Anesthesia for examination of uterus using an endoscope,N,O,658,1436,1432,1436,915.10,116.77,89.98,88.49
01112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,N,F,6421,17820,17565,17818,859.02,116.34,89.63,90.62
01112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,N,O,73,473,461,473,1124.53,157.84,123.14,123.09
01120,Anesthesia for procedure on pelvic bone,N,F,4951,5853,5795,5852,1546.20,208.09,161.58,162.44
01120,Anesthesia for procedure on pelvic bone,N,O,17,19,19,19,1108.28,159.34,124.92,126.69
01130,Anesthesia for application or revision of body cast,N,F,16,16,16,16,1022.67,155.53,119.35,119.68
01140,Anesthesia for amputation of leg including pelvic bone,N,F,72,74,74,74,4426.23,607.56,473.30,475.22
01150,Anesthesia for removal of pelvic bone tumor,N,F,344,367,367,367,2585.37,388.75,303.05,298.35
01160,Anesthesia for procedure on pubic bone or sacroiliac joint,N,F,2194,5726,5346,5725,1279.30,121.77,93.46,94.70
01160,Anesthesia for procedure on pubic bone or sacroiliac joint,N,O,89,1190,920,1190,972.71,102.66,79.24,81.11
01170,Anesthesia for open procedure on pubic bone or sacroiliac joint,N,F,2211,2718,2706,2717,1900.56,249.52,194.03,196.15
01173,Anesthesia for open repair of pelvic fracture,N,F,1838,2105,2099,2105,2986.92,398.34,310.65,312.85
01190,Anesthesia for removal of internal pelvic nerve,N,F,9,12,12,12,943.50,151.36,118.24,121.92
01200,Anesthesia for closed procedure on hip joint,N,F,12955,20930,20269,20901,764.43,101.63,78.29,78.74
01200,Anesthesia for closed procedure on hip joint,N,O,297,1114,964,1113,721.41,103.30,79.17,80.39
