HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Minimum Submitted Charge Amount,Maximum Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Allowed Amount,Minimum Medicare Allowed Amount,Maximum Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Medicare Payment Amount,Minimum Medicare Payment Amount,Maximum Medicare Payment Amount,Standard Deviation of Medicare Payment Amount
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",N,F,9722,2731111,2014926,2716724,669.27,76.88,31869.90,288.99,358.16,75.70,462.79,29.92,278.13,59.70,370.23,23.76
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",N,O,3,822,572,822,499.60,252.03,500.00,9.05,354.76,252.03,423.00,4.30,278.71,197.59,331.63,3.38
A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",N,F,89,10826,10072,10793,14438.15,700.00,29903.92,5062.17,4190.48,700.00,4731.36,412.65,3275.37,547.90,3652.11,324.27
A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",N,F,275,56410,54843,56302,17309.74,360.00,27709.39,4177.62,4599.30,360.00,5510.41,296.45,3585.95,282.24,4356.90,233.07
A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",N,F,59,3146,2641,3143,638.48,125.00,1492.44,161.48,375.31,125.00,407.41,29.99,288.03,98.00,320.76,24.79
A0433,"Advanced life support, level 2 (als 2)",N,F,5459,111968,108047,111419,1101.46,2.06,5141.55,549.71,602.57,2.06,795.42,53.82,468.83,1.62,636.34,42.88
A0434,Specialty care transport (sct),N,F,1300,104282,79913,97874,1865.06,40.00,32209.90,1149.00,744.02,22.13,940.05,63.95,583.21,17.58,742.01,50.92
A0435,"Fixed wing air mileage, per statute mile",N,F,89,1980144,10020,10729,105.00,6.93,278.79,50.98,11.75,6.93,12.48,1.02,9.20,5.43,9.98,0.81
A0436,"Rotary wing air mileage, per statute mile",N,F,272,3322854,54437,55885,186.56,33.32,281.86,56.58,31.57,22.21,33.32,1.81,24.66,16.03,26.66,1.41
A0999,Unlisted ambulance service,N,F,486,3678,2767,3396,698.20,12.00,20283.27,495.37,357.44,7.09,3286.46,127.29,280.92,5.56,2576.59,100.09
A4212,Non-coring needle or stylet with or without catheter,N,O,4,19,18,19,6.24,5.00,17.00,2.97,0.41,0.01,6.50,1.45,0.32,0.01,5.20,1.16
A4215,"Needle, sterile, any size, each",N,O,22,182,121,137,6.51,0.18,80.00,8.60,0.04,0.01,5.00,0.37,0.03,0.01,4.00,0.30
A4220,Refill kit for implantable infusion pump,N,O,202,9465,3120,9430,73.91,12.00,350.00,42.70,50.45,12.00,68.83,10.27,38.17,0.00,53.96,9.13
A4290,"Sacral nerve stimulation test lead, each",N,O,110,519,411,411,494.11,25.00,1680.00,265.78,225.27,25.00,610.00,132.25,177.64,19.60,478.24,104.13
A4561,"Pessary, rubber, any type",N,F,43,76,67,76,94.96,24.52,180.00,47.90,22.06,21.60,22.38,0.25,15.50,0.00,17.90,3.52
A4561,"Pessary, rubber, any type",N,O,3337,9145,7678,9137,67.30,6.48,1946.00,37.36,21.90,6.48,100.00,2.01,16.35,0.00,78.40,2.86
A4562,"Pessary, non rubber, any type",N,O,7427,35599,29492,35579,84.31,0.01,4000.00,45.29,54.08,0.01,85.00,2.92,40.71,0.00,66.91,4.87
A4565,Slings,N,O,11240,30442,29991,30370,21.03,0.01,281.00,12.88,8.15,0.01,9.21,0.52,6.07,0.00,7.25,1.03
A4641,"Radiopharmaceutical, diagnostic, not otherwise classified",N,O,115,756,447,452,164.63,1.00,8952.00,425.75,92.12,1.00,4476.11,259.38,71.02,0.00,3509.27,202.85
A4648,"Tissue marker, implantable, any type, each",N,F,33,126,63,63,508.82,120.00,1200.00,322.28,257.31,27.92,431.11,151.07,204.27,21.89,344.80,120.27
A4648,"Tissue marker, implantable, any type, each",N,O,1455,14850,7676,7694,388.40,6.82,4000.00,433.83,198.54,5.57,2400.00,203.11,154.78,4.40,1881.60,159.21
A4649,Surgical supply; miscellaneous,N,O,12,32,25,25,255.55,6.00,1502.00,351.10,128.18,1.00,383.28,163.04,101.67,0.80,304.28,129.55
A7043,Vacuum drainage bottle and tubing for use with implanted catheter,N,O,41,93520,2708,11002,77.50,20.00,144.03,6.38,30.96,20.00,32.89,0.12,24.33,16.00,25.90,0.09
A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose",N,F,17,59,31,34,142.49,71.00,271.00,81.78,94.88,71.00,125.00,24.35,57.65,0.00,100.00,38.01
A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose",N,O,9214,1155831,663827,673859,230.30,0.02,3059.15,169.72,142.66,0.02,2907.20,69.52,110.95,0.00,2279.24,54.41
A9502,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",N,O,4954,748433,440014,447127,235.31,1.21,2533.33,180.00,113.67,1.21,2145.83,44.45,88.38,0.00,1682.53,34.76
A9503,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries",N,O,2975,54793,52991,54662,59.97,1.50,600.00,60.17,21.79,1.50,400.00,20.95,16.91,0.00,320.00,16.53
A9505,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",N,O,2054,434403,121911,123115,129.50,8.33,1000.00,87.28,71.88,8.33,656.25,58.27,55.71,0.00,515.08,45.09
A9507,"Indium in-111 capromab pendetide, diagnostic, per study dose, up to 10 millicuries",N,O,49,123,120,123,4397.93,200.00,12608.00,2376.16,2811.63,15.10,4495.39,1061.44,2173.48,11.84,3524.38,839.19
A9509,"Iodine i-123 sodium iodide, diagnostic, per millicurie",N,O,76,633,347,348,392.20,54.00,4000.00,385.41,223.58,30.20,1700.00,129.37,170.43,24.16,1360.00,95.71
A9510,"Technetium tc-99m disofenin, diagnostic, per study dose, up to 15 millicuries",N,O,134,556,555,556,86.65,19.00,417.59,75.20,46.20,19.00,282.90,15.37,36.21,14.90,221.79,12.18
A9512,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",N,O,584,18793,2442,2500,17.72,0.43,825.00,36.06,5.93,0.43,181.00,9.30,4.58,0.00,141.90,7.26
A9516,"Iodine i-123 sodium iodide, diagnostic, per 100 microcuries, up to 999 microcuries",N,O,1250,11464,5990,6057,139.11,8.33,1262.13,111.11,87.82,8.33,755.00,62.41,68.33,0.00,591.92,48.91
A9517,"Iodine i-131 sodium iodide capsule(s), therapeutic, per millicurie",N,O,369,34895,1052,1062,65.14,2.00,7255.00,120.29,22.50,0.80,1147.07,25.84,17.48,0.00,899.31,20.33
A9521,"Technetium tc-99m exametazime, diagnostic, per study dose, up to 25 millicuries",N,O,92,379,303,311,1168.45,108.00,4036.00,640.46,994.15,108.00,3450.00,377.22,766.93,26.95,2741.60,309.41
A9524,"Iodine i-131 iodinated serum albumin, diagnostic, per 5 microcuries",N,O,12,54,31,32,604.67,179.82,985.00,373.85,94.11,60.72,361.50,91.74,69.59,30.58,284.07,73.99
A9526,"Nitrogen n-13 ammonia, diagnostic, per study dose, up to 40 millicuries",N,O,49,4526,2333,2347,471.45,250.00,625.00,49.83,260.35,87.32,471.43,90.60,204.22,69.41,370.86,71.09
A9528,"Iodine i-131 sodium iodide capsule(s), diagnostic, per millicurie",N,O,165,1257,391,404,85.47,7.00,3480.00,155.88,42.83,7.00,1793.90,67.86,33.28,0.00,1406.42,53.19
A9529,"Iodine i-131 sodium iodide solution, diagnostic, per millicurie",N,O,4,134,29,31,52.00,49.00,250.00,24.37,30.44,24.55,120.00,13.21,23.96,19.41,94.08,10.40
A9530,"Iodine i-131 sodium iodide solution, therapeutic, per millicurie",N,O,19,1816,59,62,18.00,1.05,800.00,37.55,16.33,1.05,270.50,14.15,12.77,0.82,212.07,11.17
A9531,"Iodine i-131 sodium iodide, diagnostic, per microcurie (up to 100 microcuries)",N,O,88,1834,368,369,16.48,1.86,150.00,19.27,12.61,0.80,80.00,11.54,9.77,0.63,62.72,9.01
A9537,"Technetium tc-99m mebrofenin, diagnostic, per study dose, up to 15 millicuries",N,O,2030,12137,12112,12135,100.76,1.00,1253.00,101.87,48.18,1.00,500.00,19.14,37.30,0.00,392.00,15.24
A9538,"Technetium tc-99m pyrophosphate, diagnostic, per study dose, up to 25 millicuries",N,O,430,2547,2410,2529,196.27,2.85,1000.00,226.34,132.63,2.85,548.26,204.21,104.01,0.00,431.74,160.76
A9539,"Technetium tc-99m pentetate, diagnostic, per study dose, up to 25 millicuries",N,O,341,1626,1487,1515,75.65,6.00,724.00,99.86,22.08,4.37,200.00,10.22,17.16,1.80,156.80,8.15
A9540,"Technetium tc-99m macroaggregated albumin, diagnostic, per study dose, up to 10 millicuries",N,O,625,2336,2308,2317,56.75,8.50,534.00,65.82,30.77,4.00,271.62,24.48,23.75,0.00,213.13,18.59
A9541,"Technetium tc-99m sulfur colloid, diagnostic, per study dose, up to 20 millicuries",N,O,1653,10895,10734,10859,119.44,1.00,840.00,103.57,63.63,1.00,800.00,44.10,49.44,0.00,640.00,34.73
A9543,"Yttrium y-90 ibritumomab tiuxetan, therapeutic, per treatment dose, up to 40 millicuries",N,O,25,37,37,37,66809.55,37752.86,99800.00,21492.13,42871.84,37670.63,45677.52,2686.27,32950.15,7.88,36542.02,5882.08
A9547,"Indium in-111 oxyquinoline, diagnostic, per 0. 5 millicurie",N,O,45,146,130,130,1039.40,200.00,5423.00,921.32,874.61,200.00,3165.00,446.32,675.62,156.80,2532.00,359.27
A9548,"Indium in-111 pentetate, diagnostic, per 0. 5 millicurie",N,O,58,160,112,116,1215.24,100.00,5900.00,751.09,686.06,100.00,1849.93,326.78,539.64,78.40,1450.34,257.97
A9551,"Technetium tc-99m succimer, diagnostic, per study dose, up to 10 millicuries",N,O,27,64,63,64,366.14,200.10,1544.00,209.45,310.39,124.50,660.00,134.62,240.43,83.65,517.44,107.07
A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",N,O,3459,267794,226576,267714,569.76,35.00,8000.00,393.55,287.07,10.00,800.00,120.05,224.72,0.00,630.69,94.34
A9554,"Iodine i-125 sodium iothalamate, diagnostic, per study dose, up to 10 microcuries",N,O,3,1222,1021,1222,975.08,975.00,975.10,0.04,601.95,595.87,640.40,4.00,449.21,444.65,507.20,4.37
A9555,"Rubidium rb-82, diagnostic, per study dose, up to 60 millicuries",N,O,694,130962,68330,68882,719.08,129.00,2600.00,470.59,354.94,118.03,1751.27,194.70,277.88,92.94,1384.21,152.78
A9556,"Gallium ga-67 citrate, diagnostic, per millicurie",N,O,123,992,225,233,100.63,10.00,1200.00,130.35,60.53,5.71,326.96,45.95,47.35,3.26,256.34,36.16
A9557,"Technetium tc-99m bicisate, diagnostic, per study dose, up to 25 millicuries",N,O,16,179,97,98,527.68,400.00,2528.00,404.19,442.48,392.41,1479.00,198.82,344.87,304.86,1171.93,158.11
A9558,"Xenon xe-133 gas, diagnostic, per 10 millicuries",N,O,92,1013,591,594,106.03,10.00,350.00,50.56,77.28,10.00,211.00,23.56,59.35,7.88,165.42,18.73
A9560,"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30 millicuries",N,O,1814,9351,8690,9186,174.21,4.17,1000.00,98.05,99.07,0.79,425.00,32.20,76.85,0.00,340.00,25.47
A9561,"Technetium tc-99m oxidronate, diagnostic, per study dose, up to 30 millicuries",N,O,483,7404,7090,7400,90.06,11.62,400.00,97.09,42.97,11.62,400.00,29.10,33.24,0.00,320.00,22.82
A9562,"Technetium tc-99m mertiatide, diagnostic, per study dose, up to 15 millicuries",N,O,854,4559,4398,4528,557.22,23.00,4924.00,335.83,398.89,21.97,800.00,172.48,311.20,17.23,627.20,135.23
A9567,"Technetium tc-99m pentetate, diagnostic, aerosol, per study dose, up to 75 millicuries",N,O,337,1014,1010,1014,83.81,12.03,661.44,80.15,35.09,12.00,250.00,17.22,27.43,9.03,200.00,13.52
A9568,"Technetium tc-99m arcitumomab, diagnostic, per study dose, up to 45 millicuries",N,O,5,120,105,112,475.00,450.00,1500.00,95.53,472.32,450.00,1178.06,66.96,372.05,354.20,942.45,54.11
A9569,"Technetium tc-99m exametazime labeled autologous white blood cells, diagnostic, per study dose",N,O,94,178,178,178,2189.97,5.00,9180.00,1026.55,1461.62,0.74,2625.85,471.46,1146.88,0.59,2067.07,377.16
A9570,"Indium in-111 labeled autologous white blood cells, diagnostic, per study dose",N,O,144,431,427,429,2179.40,65.00,6407.14,1074.14,1621.39,1.00,3604.00,653.76,1265.47,0.78,2883.20,513.33
A9572,"Indium in-111 pentetreotide, diagnostic, per study dose, up to 6 millicuries",N,O,185,516,484,501,4408.54,166.67,16125.00,2460.90,2927.56,2.00,6470.64,1281.56,2297.30,1.60,5124.75,1008.61
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Y,O,661,203474,12393,12780,5.93,1.20,400.00,6.67,1.90,1.20,2.04,0.03,1.47,0.00,1.60,0.07
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Y,O,2998,949152,64902,67463,8.09,0.01,297.00,10.84,2.41,0.01,3.01,0.14,1.85,0.00,2.36,0.15
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Y,O,156,74960,5969,6368,6.84,1.00,50.00,7.10,2.11,1.00,10.20,0.14,1.63,0.43,8.16,0.13
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Y,O,9905,5005240,308705,323064,7.47,0.01,828.00,9.58,1.85,0.01,16.63,0.20,1.42,0.00,13.04,0.17
A9580,"Sodium fluoride f-18, diagnostic, per study dose, up to 30 millicuries",N,O,742,6215,5590,6196,574.00,100.00,8000.00,593.63,190.99,10.20,1020.00,78.48,150.33,8.00,799.68,61.80
A9581,"Injection, gadoxetate disodium, 1 ml",Y,O,987,49682,4837,5142,33.92,1.30,1300.00,43.08,15.36,1.30,130.00,7.90,11.93,0.00,101.92,6.25
A9582,"Iodine i-123 iobenguane, diagnostic, per study dose, up to 15 millicuries",N,O,33,38,38,38,3801.89,2050.00,10000.00,1483.92,3122.25,1900.00,4487.06,682.40,2467.23,1489.60,3589.65,545.48
A9583,"Injection, gadofosveset trisodium, 1 ml",Y,O,124,3565,376,381,31.52,3.00,239.40,27.16,11.58,3.00,13.86,1.33,9.05,0.00,10.87,1.16
A9584,"Iodine 1-123 ioflupane, diagnostic, per study dose, up to 5 millicuries",N,O,101,1068,1064,1067,3299.51,175.00,8398.00,1457.99,2145.48,175.00,2828.29,333.67,1687.85,137.20,2233.58,262.74
A9585,"Injection, gadobutrol, 0. 1 ml",Y,O,2700,5401791,75094,78110,2.37,0.12,151.90,4.62,0.42,0.01,3.04,0.11,0.33,0.00,2.39,0.09
A9600,"Strontium sr-89 chloride, therapeutic, per millicurie",N,O,7,32,21,22,2161.22,25.00,8000.00,2295.02,1497.53,25.00,6474.39,1961.07,1174.08,19.63,5075.93,1537.47
A9604,"Samarium sm-153 lexidronam, therapeutic, per treatment dose, up to 150 millicuries",N,O,48,73,72,73,13932.93,6001.00,37500.00,5638.73,8074.73,6001.00,9786.56,645.76,6372.80,4800.80,7829.25,511.53
A9698,"Non-radioactive contrast imaging material, not otherwise classified, per study",N,O,13,317,263,270,20.48,6.00,245.00,30.38,17.74,5.31,245.00,26.93,13.94,4.16,196.00,21.31
A9699,"Radiopharmaceutical, therapeutic, not otherwise classified",N,O,132,1896,467,1018,11049.32,32.00,45890.00,13476.80,5583.45,1.35,19232.50,6276.12,4365.34,1.06,15078.28,4903.17
A9700,"Supply of injectable contrast material for use in echocardiography, per study",N,O,86,409,404,407,265.95,0.65,380.00,104.36,128.81,0.65,313.62,43.93,100.76,0.00,247.31,35.36
C2638,"Brachytherapy source, stranded, iodine-125, per source",N,F,33,38783,485,488,58.58,0.83,212.00,35.37,43.19,0.83,46.70,6.66,33.78,0.65,37.36,5.18
C2639,"Brachytherapy source, non-stranded, iodine-125, per source",N,F,40,34783,633,633,36.31,10.51,90.00,17.76,28.13,10.51,35.69,8.03,22.12,8.41,28.55,6.35
C2640,"Brachytherapy source, stranded, palladium-103, per source",N,F,19,9957,109,109,85.41,26.00,250.00,52.14,64.57,26.00,75.43,8.88,50.52,20.38,59.52,7.41
C2641,"Brachytherapy source, non-stranded, palladium-103, per source",N,F,31,12025,149,150,83.96,17.00,162.50,27.67,58.69,17.00,62.93,3.96,45.39,0.00,49.90,5.23
C2642,"Brachytherapy source, stranded, cesium-131, per source",N,F,7,4932,80,80,95.14,70.39,142.00,24.30,89.88,67.65,110.26,21.23,70.74,53.26,88.21,16.70
C2643,"Brachytherapy source, non-stranded, cesium-131, per source",N,F,4,1162,27,27,112.18,66.03,162.50,36.04,65.89,65.56,66.03,0.22,52.16,51.81,52.82,0.31
C9250,"Human plasma fibrin sealant, vapor-heated, solvent-detergent (artiss), 2ml",N,F,14,121,109,115,290.62,103.60,410.92,76.91,41.47,26.15,100.31,12.49,32.55,20.50,78.64,9.80
C9257,"Injection, bevacizumab, 0. 25 mg",N,F,38,8015,1193,2505,57.30,1.22,400.00,84.40,1.59,1.22,1.62,0.08,1.21,0.96,1.27,0.07
C9285,"Lidocaine 70 mg/tetracaine 70 mg, per patch",N,F,2,91,63,77,64.25,61.00,65.00,1.56,13.29,13.25,13.30,0.02,10.55,10.46,10.58,0.04
C9290,"Injection, bupivacaine liposome, 1 mg",N,F,74,81937,441,443,4.88,0.23,1282.00,34.46,1.09,0.23,1.10,0.03,0.84,0.18,0.87,0.04
C9298,"Injection, ocriplasmin",N,F,6,80,20,20,1192.13,1000.00,2000.00,341.36,1041.31,1000.00,1085.88,23.68,816.39,784.00,851.33,18.56
C9726,Placement and removal (if performed) of applicator into breast for radiation therapy,N,F,4,32,31,31,21017.08,1306.50,22358.00,4694.86,877.73,504.75,1038.46,128.54,692.03,395.72,815.81,100.21
C9728,"Placement of interstitial device(s) for radiation therapy/surgery guidance (eg, fiducial markers, dosimeter), for other than the following sites (any approach): abdomen, pelvis, prostate, retroperitoneum, thorax, single or multiple",N,F,3,27,20,20,1066.63,850.00,5195.00,811.34,527.51,513.35,532.76,5.10,414.51,402.47,419.82,5.00
D7140,"Extraction, erupted tooth or exposed root (elevation and/or forceps removal)",N,F,83,1157,157,160,155.65,39.12,726.00,95.64,59.15,7.14,138.00,12.10,46.56,0.00,110.40,9.73
D7140,"Extraction, erupted tooth or exposed root (elevation and/or forceps removal)",N,O,113,958,156,162,155.60,75.00,330.00,42.32,65.03,5.09,149.50,20.06,51.16,0.00,117.21,15.91
D7210,"Surgical removal of erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated",N,F,64,544,88,88,275.57,69.00,2600.00,207.99,114.41,1.00,185.41,51.03,89.96,0.80,145.36,40.20
D7210,"Surgical removal of erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated",N,O,99,439,131,135,243.46,120.00,7152.00,336.05,124.22,50.00,3446.64,164.83,97.50,37.30,2702.16,129.25
D9940,"Occlusal guards, by report",N,O,12,100,99,100,1029.18,200.00,1195.00,125.93,348.33,200.00,367.11,16.05,272.32,42.40,289.68,23.78
E0746,"Electromyography (emg), biofeedback device",N,O,2,45,30,45,180.00,176.61,187.50,5.04,84.34,83.27,86.71,1.59,66.48,65.64,68.34,1.25
E0781,"Ambulatory infusion pump, single or multiple channels, electric or battery operated, with administrative equipment, worn by patient",N,O,39,1086,114,1080,498.59,30.00,1429.20,193.46,277.01,8.13,286.78,36.83,218.58,6.37,229.42,30.02
J0470,"Injection, dimercaprol, per 100 mg",Y,O,2,672,68,343,35.05,35.00,70.00,1.35,29.92,29.92,30.10,0.01,23.54,23.54,24.08,0.02
E1399,"Durable medical equipment, miscellaneous",N,O,34,201,51,190,388.55,4.00,5000.00,617.46,23.88,0.70,400.00,44.59,18.75,0.55,313.60,34.96
G0008,Administration of influenza virus vaccine,N,F,1500,12727,12605,12727,29.50,0.01,200.00,13.67,22.20,0.01,33.21,5.02,21.73,0.00,32.79,4.99
G0008,Administration of influenza virus vaccine,N,O,202621,14308984,14080472,14307040,27.16,0.01,5351.12,24.10,22.51,0.01,33.21,4.26,22.06,0.00,33.21,4.16
G0009,Administration of pneumococcal vaccine,N,F,706,2236,2206,2209,33.61,0.01,150.00,13.73,23.01,0.01,33.21,4.68,22.53,0.00,32.79,4.86
G0009,Administration of pneumococcal vaccine,N,O,137245,1498340,1477895,1484884,30.34,0.00,7553.65,16.58,22.91,0.00,33.21,5.59,22.49,0.00,33.21,5.50
G0010,Administration of hepatitis b vaccine,N,F,177,326,276,319,39.96,5.00,193.03,21.25,24.49,5.00,33.21,5.07,24.06,4.90,33.21,5.09
G0010,Administration of hepatitis b vaccine,N,O,16776,56172,40030,55946,34.80,0.01,400.00,18.36,24.33,0.01,33.21,4.82,23.91,0.00,33.21,4.78
G0027,Semen analysis; presence and/or motility of sperm excluding huhner,N,O,6,132,97,132,19.35,19.00,48.00,2.70,8.91,4.96,8.94,0.35,8.85,4.86,8.94,0.35
G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,F,7277,59055,59055,59055,72.29,16.41,384.00,41.87,26.19,5.40,37.05,2.26,25.77,0.00,36.31,2.23
G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,O,61927,1035384,1035289,1035291,78.15,0.01,840.30,41.95,37.67,0.01,46.87,3.18,37.03,0.00,46.87,3.17
G0102,Prostate cancer screening; digital rectal examination,N,F,517,2834,2834,2834,36.68,8.61,101.00,16.60,8.38,6.74,11.44,0.47,4.68,0.00,8.97,1.58
G0102,Prostate cancer screening; digital rectal examination,N,O,6107,42953,42945,42945,38.69,0.01,1000.00,17.48,19.98,0.01,25.35,1.75,11.24,0.00,19.87,3.41
G0103,Prostate cancer screening; prostate specific antigen test (psa),N,F,18,218,218,218,63.89,24.47,116.00,8.04,25.29,24.47,25.29,0.06,24.94,23.98,25.29,0.09
G0103,Prostate cancer screening; prostate specific antigen test (psa),N,O,19611,1365684,1365627,1365627,90.30,0.01,359.00,36.18,25.24,0.01,25.40,0.42,24.82,0.00,25.30,0.51
G0104,Colorectal cancer screening; flexible sigmoidoscopy,N,F,1311,2033,2026,2033,490.43,9.00,8000.00,636.43,69.71,9.00,147.73,22.80,68.54,8.82,147.73,22.55
G0104,Colorectal cancer screening; flexible sigmoidoscopy,N,O,311,634,634,634,243.93,0.01,1500.00,160.13,126.51,0.01,181.83,41.78,123.62,0.01,178.19,41.40
G0105,Colorectal cancer screening; colonoscopy on individual at high risk,N,F,15699,376040,375277,376031,1131.18,95.00,12249.94,809.66,252.54,30.25,481.66,55.18,248.17,0.00,474.17,54.40
G0105,Colorectal cancer screening; colonoscopy on individual at high risk,N,O,1072,7659,7637,7658,1069.65,0.01,3000.00,524.57,414.36,0.01,505.40,55.58,405.99,0.00,505.40,57.22
G0106,"Colorectal cancer screening; alternative to g0104, screening sigmoidoscopy, barium enema",N,O,17,30,30,30,98.77,0.01,480.00,129.89,72.17,0.01,264.13,75.21,56.66,0.01,207.07,58.93
G0108,"Diabetes outpatient self-management training services, individual, per 30 minutes",N,F,214,6988,2975,3874,89.82,24.44,230.00,36.30,50.57,24.44,68.11,1.95,38.03,0.00,54.49,2.96
G0108,"Diabetes outpatient self-management training services, individual, per 30 minutes",N,O,3342,110015,47090,68001,94.31,10.00,850.00,36.38,51.23,10.00,68.11,3.25,37.49,0.00,54.49,3.95
G0109,"Diabetes outpatient self-management training services, group session (2 or more), per 30 minutes",N,F,104,10970,1299,2317,50.67,2.50,135.00,21.88,13.81,2.50,15.60,0.86,10.45,0.00,12.37,0.93
G0109,"Diabetes outpatient self-management training services, group session (2 or more), per 30 minutes",N,O,1393,110695,15351,26983,38.48,8.33,400.00,16.89,13.82,6.40,18.43,0.73,10.27,0.00,14.51,1.02
G0117,Glaucoma screening for high risk patients furnished by an optometrist or ophthalmologist,N,O,142,389,389,389,72.24,0.01,441.00,51.64,44.80,0.01,65.79,21.15,28.48,0.00,51.84,17.78
G0118,Glaucoma screening for high risk patient furnished under the direct supervision of an optometrist or ophthalomologist,N,O,7,17,17,17,59.06,40.00,111.00,16.95,37.89,34.57,50.75,4.67,16.62,8.04,39.79,11.56
G0120,"Colorectal cancer screening; alternative to g0105, screening colonoscopy, barium enema.",N,F,56,85,85,85,517.45,97.00,1500.00,268.61,90.34,43.08,255.64,70.40,71.13,33.77,200.42,55.45
G0120,"Colorectal cancer screening; alternative to g0105, screening colonoscopy, barium enema.",N,O,17,22,22,22,398.27,78.33,863.00,235.42,188.52,78.33,294.79,61.34,148.48,61.41,231.11,48.21
G0121,Colorectal cancer screening; colonoscopy on individual not meeting criteria for high risk,N,F,18406,367719,366711,367688,1145.11,113.05,12733.10,857.60,249.34,14.13,470.22,56.39,245.05,0.00,462.70,55.66
G0121,Colorectal cancer screening; colonoscopy on individual not meeting criteria for high risk,N,O,1577,8752,8731,8751,969.53,0.01,3500.00,465.12,405.12,0.01,505.40,69.74,397.65,0.00,498.77,69.63
G0123,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, screening by cytotechnologist under physician supervision",N,F,9,15,15,15,66.05,48.00,82.00,10.07,27.32,27.19,27.85,0.26,27.00,26.65,27.85,0.39
