HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,N,F,13,73,69,73,275.07,138.03,108.22,108.22
00560,Anesthesia for procedure on heart and great blood vessels,N,F,9824,31951,31688,31902,2963.95,492.26,384.50,382.09
00561,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, younger than 1 year of age",N,F,27,29,29,29,4367.61,958.01,748.59,775.16
00562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",N,F,9797,64556,64377,64524,4457.73,806.17,629.40,628.66
00563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,N,F,2015,5991,5981,5989,5466.51,934.91,730.30,726.86
00566,Anesthesia for heart artery bypass grafting,N,F,3400,10811,10803,10808,4586.15,800.91,625.54,630.45
00567,Anesthesia for heart artery bypass grafting on heart-lung machine,N,F,10124,60862,60797,60838,4085.86,714.74,558.03,562.86
00580,Anesthesia for heart or heart-lung transplant,N,F,753,1559,1552,1558,6263.04,1086.80,848.34,838.84
00600,Anesthesia for procedure on upper spine and spinal cord,N,F,11416,20786,20293,20779,2127.42,331.50,256.81,259.84
00600,Anesthesia for procedure on upper spine and spinal cord,N,O,26,182,117,182,1411.43,272.36,208.67,199.86
00604,"Anesthesia for procedure on spine and spinal cord, patient in sitting position",N,F,424,468,468,468,2303.60,396.96,308.45,311.73
00620,Anesthesia for procedure on middle spine and spinal cord,N,F,7799,11142,10996,11134,2040.07,322.76,250.51,252.83
00620,Anesthesia for procedure on middle spine and spinal cord,N,O,23,89,65,89,787.83,280.05,218.27,221.62
00625,Anesthesia for procedure on middle spine and spinal cord,N,F,420,493,488,493,3233.20,506.89,395.78,394.55
00626,Anesthesia for procedure on middle spine and spinal cord with 1 lung ventilation,N,F,253,268,268,268,4013.15,626.59,489.82,489.19
00630,Anesthesia for procedure on lower spine,N,F,37466,136465,133351,136427,1738.55,275.04,213.35,215.75
00630,Anesthesia for procedure on lower spine,N,O,83,1397,759,1397,1263.41,217.32,167.79,162.97
00635,Anesthesia for spinal tap,N,F,2105,3344,2889,3343,909.16,142.62,109.88,110.60
00635,Anesthesia for spinal tap,N,O,9,279,208,279,587.98,118.91,91.83,94.02
00640,Anesthesia for closed manipulation of spine,N,F,912,1217,1191,1217,1012.29,128.99,100.40,98.23
00640,Anesthesia for closed manipulation of spine,N,O,10,46,39,46,601.68,186.22,145.12,160.67
00670,Anesthesia for procedure on spine and spinal cord,N,F,40236,223940,222494,223891,2839.16,446.80,347.21,350.31
00700,Anesthesia for procedure on upper front abdominal wall,N,F,13164,18551,18301,18546,1086.72,153.89,119.31,118.81
00700,Anesthesia for procedure on upper front abdominal wall,N,O,22,42,39,42,1031.55,130.98,102.69,103.56
00702,Anesthesia for liver biopsy (accessed through the skin),N,F,1199,1537,1532,1537,1108.41,144.70,112.18,109.85
00702,Anesthesia for liver biopsy (accessed through the skin),N,O,18,41,40,41,1080.58,170.65,133.79,128.18
00730,Anesthesia for procedure on upper rear abdominal wall,N,F,1228,1441,1408,1439,1080.35,160.13,123.97,123.37
0073T,Compensator-based beam modulation radiation treatment delivery per session,N,O,67,11058,643,11050,1440.84,364.61,284.76,309.35
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,F,65376,1713685,1675079,1712739,767.48,120.71,93.33,93.16
00740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,O,1311,38807,37704,38803,1106.88,158.95,122.80,115.24
00750,Anesthesia for procedure to repair upper abdominal hernia,N,F,17093,24179,24165,24175,939.95,148.19,113.74,114.86
00752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,N,F,25918,45835,45763,45828,1411.07,225.75,174.30,176.01
00754,Anesthesia for procedure to repair upper abdominal hernia present at birth,N,F,41,57,57,57,1355.44,250.18,189.98,191.94
00756,Anesthesia for procedure to repair abdominal hernia,N,F,406,433,433,433,1928.98,317.33,247.72,249.96
0075T,"Percutaneous insertion of stents into vertebral or carotid artery via catheter, accessed through the skin including radiologic supervision and interpretation",N,F,59,79,79,79,3325.18,751.79,588.93,588.93
00770,Anesthesia for procedure on major abdominal blood vessels,N,F,7638,10342,10299,10326,3273.64,533.07,415.76,417.70
00770,Anesthesia for procedure on major abdominal blood vessels,N,O,8,473,428,473,2690.26,523.37,410.32,412.49
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,N,F,62484,488567,485713,488431,1627.26,258.97,201.09,202.18
00790,Anesthesia for procedure in upper abdomen including use of an endoscope,N,O,29,35,35,35,1184.37,310.50,243.43,240.50
00792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope,N,F,3428,4707,4700,4707,3276.99,527.13,410.62,407.65
00794,Anesthesia for removal of pancreas including use of an endoscope,N,F,5567,8284,8276,8284,3397.01,516.38,402.76,399.23
00796,Anesthesia for liver transplant recipient including use of an endoscope,N,F,770,1767,1746,1763,6712.75,1236.93,962.02,953.65
00797,Anesthesia for procedure on stomach for obesity including use of an endoscope,N,F,13207,31630,31577,31628,2121.46,323.54,250.41,252.30
00800,Anesthesia for procedure on lower front abdominal wall,N,F,18389,26173,25937,26167,920.83,137.09,105.97,106.62
00800,Anesthesia for procedure on lower front abdominal wall,N,O,26,29,28,29,806.55,131.94,103.44,101.15
00802,Anesthesia for removal of excess tissue on lower abdominal wall,N,F,2301,2592,2589,2592,1777.13,268.01,206.39,207.28
00810,Anesthesia for procedure on lower intestine using an endoscope,N,F,59386,1988965,1977751,1988580,757.04,127.11,96.04,95.92
00810,Anesthesia for procedure on lower intestine using an endoscope,N,O,1467,68641,67997,68634,1156.16,170.39,129.68,121.68
00820,Anesthesia for procedure on lower rear abdominal wall,N,F,1855,2341,2289,2341,1154.57,163.64,126.68,125.82
00820,Anesthesia for procedure on lower rear abdominal wall,N,O,10,17,17,17,1117.23,140.60,110.23,110.59
00830,Anesthesia for lower abdominal hernia repair,N,F,44669,129155,128942,129140,1025.29,162.60,125.13,125.52
00830,Anesthesia for lower abdominal hernia repair,N,O,14,21,21,21,1084.72,234.88,172.71,174.34
00832,Anesthesia for middle or incisional abdominal hernia repair,N,F,16507,26875,26834,26872,1439.51,223.99,172.71,174.26
00834,"Anesthesia for lower abdominal hernia repair, child younger than 1 year of age",N,F,16,16,16,16,808.43,195.55,148.01,151.50
00836,"Anesthesia for lower abdominal hernia repair, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",N,F,20,22,22,22,1133.15,171.97,134.82,136.05
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,N,F,57788,269284,267742,269219,1579.52,245.22,189.84,191.08
00840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope,N,O,23,31,31,31,1692.49,283.20,222.03,214.85
00842,Anesthesia for removal of amniotic fluid in uterus including use of an endoscope,N,F,14,15,14,15,1143.02,223.38,175.13,175.47
00844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope,N,F,3664,4181,4177,4181,2575.63,400.90,312.04,314.73
00846,Anesthesia for removal of uterus including use of an endoscope,N,F,6612,9607,9600,9607,2368.00,348.15,270.96,270.22
00848,Anesthesia for removal of pelvic organs including use of an endoscope,N,F,685,735,732,735,3510.47,551.53,430.60,426.48
00851,Anesthesia for tying or incision of fallopian tubes using an endoscope,N,F,1681,1818,1818,1818,1015.82,163.94,124.58,128.14
00860,Anesthesia for procedure in lower abdomen including urinary tract,N,F,29579,59022,58732,59006,1423.06,221.25,171.24,172.17
00860,Anesthesia for procedure in lower abdomen including urinary tract,N,O,21,30,29,30,1292.34,231.90,181.81,178.08
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,N,F,29972,66204,65684,66158,1886.73,287.14,224.31,224.71
00862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,N,O,13,15,15,15,1780.74,320.51,244.98,247.23
00864,Anesthesia for removal of urinary bladder,N,F,4435,5923,5920,5922,3451.16,517.32,403.60,401.00
00865,Anesthesia for removal of prostate,N,F,13638,23693,23686,23690,2235.66,349.21,270.39,271.96
00866,Anesthesia for removal of adrenal gland,N,F,1708,1852,1851,1852,2547.18,394.63,307.04,306.62
00868,Anesthesia for kidney transplant,N,F,5956,12828,12805,12826,3044.07,456.01,352.98,353.18
00870,Anesthesia for removal of urinary bladder stone,N,F,898,1174,1168,1174,1107.26,179.52,139.58,140.13
00872,Anesthesia for shock wave therapy for urinary system stones,N,F,1364,3733,3610,3733,1219.20,189.99,147.10,145.69
00872,Anesthesia for shock wave therapy for urinary system stones,N,O,7,22,19,22,2522.51,257.28,201.71,184.83
00873,Anesthesia for shock wave therapy for urinary system stones,N,F,28413,92612,90149,92605,957.32,152.25,117.89,118.86
00873,Anesthesia for shock wave therapy for urinary system stones,N,O,33,116,109,116,977.55,197.99,154.94,158.27
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,N,F,5953,7972,7956,7968,3330.63,534.24,416.49,418.03
00880,Anesthesia for procedure on major lower abdominal wall blood vessels,N,O,13,14,14,14,3655.89,514.56,395.18,377.43
00882,Anesthesia for tying of major vein in lower abdomen,N,F,413,567,566,567,1552.38,236.02,183.71,184.93
00902,Anesthesia for procedure on anus and rectum,N,F,38902,97247,96314,97220,919.06,146.35,112.73,113.38
00902,Anesthesia for procedure on anus and rectum,N,O,281,2375,2290,2375,891.75,164.51,126.86,124.04
00904,Anesthesia for procedure on perineum,N,F,4101,4658,4614,4656,1723.26,261.64,203.20,204.13
00906,Anesthesia for removal of external female genitalia,N,F,2852,3287,3277,3287,952.89,142.87,110.18,111.15
00908,Anesthesia for removal of prostate,N,F,236,251,251,251,1923.49,296.32,229.40,233.92
00910,Anesthesia for procedure on urinary system including use of an endoscope,N,F,55419,357018,348079,356940,676.36,103.45,79.94,80.06
00910,Anesthesia for procedure on urinary system including use of an endoscope,N,O,389,5015,4657,5015,813.58,123.86,96.05,91.15
00912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,N,F,38920,113250,111203,113237,973.09,151.67,117.77,117.57
00912,Anesthesia for removal of urinary bladder tumors including use of an endoscope,N,O,97,271,264,271,969.55,190.97,149.08,140.23
00914,Anesthesia for removal of prostate including use of an endoscope,N,F,36462,105227,104938,105204,1117.90,179.47,139.25,139.50
00914,Anesthesia for removal of prostate including use of an endoscope,N,O,210,1138,1133,1138,1508.13,219.39,170.43,163.09
00916,Anesthesia for procedure to control urinary system bleeding including use of an endoscope,N,F,1137,1404,1382,1404,1070.46,168.97,131.73,132.34
00918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",N,F,28565,66950,66203,66947,996.57,160.28,123.92,125.38
00918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope",N,O,32,62,61,62,1531.62,184.70,144.80,147.12
00920,Anesthesia for procedure on male genitalia,N,F,23457,39039,38805,39029,833.51,131.47,101.19,102.12
00920,Anesthesia for procedure on male genitalia,N,O,69,96,94,96,942.47,145.44,114.03,108.07
00921,Anesthesia for vasectomy,N,F,126,128,128,128,753.01,119.99,91.17,92.46
00922,Anesthesia for procedure on male genitalia glands,N,F,30,31,31,31,1117.03,180.64,137.06,136.78
00924,Anesthesia for repair of undescended testicle,N,F,47,48,47,48,985.22,160.95,121.96,121.52
00926,Anesthesia for removal of testicle through groin,N,F,1312,1356,1356,1356,986.91,160.91,124.09,125.43
00928,Anesthesia for removal of testicle through abdomen,N,F,72,73,73,73,1741.66,246.94,193.60,194.20
00930,Anesthesia for relocation of undescended testicle into scrotum,N,F,289,293,293,293,1081.38,172.60,132.92,140.57
00932,Anesthesia for removal of penis,N,F,153,153,153,153,1590.18,241.67,188.54,188.42
00934,Anesthesia for removal of penis and lymph nodes on both sides of groin,N,F,34,34,34,34,2746.94,325.51,251.50,245.21
00938,Anesthesia for insertion of penile prosthesis,N,F,6865,10282,10253,10281,1358.50,201.72,155.28,155.34
00940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",N,F,22295,35166,34835,35157,731.54,110.57,85.00,85.48
00940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",N,O,95,209,202,209,762.71,163.13,127.11,120.18
00942,Anesthesia for repair or removal of vagina and urinary procedure,N,F,14749,21499,21472,21489,1151.46,178.59,137.65,139.25
00944,Anesthesia for vaginal removal of uterus,N,F,13535,19152,19142,19147,1637.70,264.57,204.66,206.30
00948,Anesthesia for suture closure of cervix,N,F,243,249,249,249,779.19,126.99,95.74,96.95
00950,Anesthesia for examination of cervix using an endoscope,N,F,18,18,18,18,1076.36,183.97,144.24,143.76
00952,Anesthesia for examination of uterus using an endoscope,N,F,29840,62152,62035,62142,789.05,120.90,93.15,93.12
00952,Anesthesia for examination of uterus using an endoscope,N,O,192,442,439,442,938.31,161.75,123.99,119.54
01112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,N,F,5927,16160,15809,16158,788.27,120.49,92.72,93.99
01112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,N,O,40,320,312,320,750.29,165.66,129.10,126.20
01120,Anesthesia for procedure on pelvic bone,N,F,4790,5848,5787,5847,1402.11,218.15,169.40,170.33
01130,Anesthesia for application or revision of body cast,N,F,13,13,13,13,911.59,140.92,110.48,110.91
01140,Anesthesia for amputation of leg including pelvic bone,N,F,56,60,60,60,3962.95,650.78,510.21,506.74
01150,Anesthesia for removal of pelvic bone tumor,N,F,369,400,398,400,2828.08,412.13,320.20,319.77
01160,Anesthesia for procedure on pubic bone or sacroiliac joint,N,F,1201,4234,3877,4234,871.12,107.20,82.62,81.84
01160,Anesthesia for procedure on pubic bone or sacroiliac joint,N,O,57,327,273,327,962.97,133.51,100.30,95.48
01170,Anesthesia for open procedure on pubic bone or sacroiliac joint,N,F,2273,3049,3022,3049,1677.01,252.69,195.70,197.38
01173,Anesthesia for open repair of pelvic fracture,N,F,1666,1912,1906,1912,2883.78,423.23,327.60,331.27
01180,Anesthesia for removal of external pelvic nerve,N,F,13,15,15,15,488.15,216.94,170.08,170.43
01190,Anesthesia for removal of internal pelvic nerve,N,F,10,11,11,11,894.79,136.74,107.21,107.56
01200,Anesthesia for closed procedure on hip joint,N,F,12871,20942,20280,20915,690.20,106.80,82.37,82.83
01200,Anesthesia for closed procedure on hip joint,N,O,177,688,598,688,677.23,108.70,83.41,81.72
01202,Anesthesia for procedure on hip joint using an endoscope,N,F,2395,3048,3034,3047,1222.16,188.74,145.19,147.89
01210,Anesthesia for open surgical procedure on hip joint,N,F,34459,95486,95034,95465,1440.53,229.14,178.19,178.39
01210,Anesthesia for open surgical procedure on hip joint,N,O,15,53,49,53,1287.95,149.65,114.56,115.41
01212,Anesthesia for open hip joint dislocation,N,F,328,353,350,353,2412.32,370.60,290.21,288.07
01214,Anesthesia for open total hip joint replacement,N,F,43597,201435,200625,201401,1746.12,277.41,215.83,216.31
01215,Anesthesia for open revision of total hip joint replacement,N,F,18879,32634,32276,32628,2295.34,357.53,278.66,278.37
01220,Anesthesia for closed procedure on upper two-thirds of thigh bone,N,F,11792,16280,16262,16276,1050.20,160.97,124.80,125.27
01230,Anesthesia for open procedure on upper two-thirds of thigh bone,N,F,45863,171733,171236,171703,1434.26,224.14,174.18,174.18
01232,Anesthesia for open amputation at upper two-thirds of thigh bone,N,F,14693,20889,20707,20888,1259.08,191.06,148.81,149.67
01234,Anesthesia for open removal of muscle or tissue at upper two-thirds of thigh bone,N,F,156,162,162,162,2323.26,355.93,278.45,278.75
01250,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper leg",N,F,12688,16176,16028,16172,1048.13,162.86,126.05,126.84
01260,Anesthesia for procedure on veins of upper leg,N,F,2201,2944,2878,2942,936.63,157.62,121.81,122.78
01260,Anesthesia for procedure on veins of upper leg,N,O,49,554,359,553,1374.28,135.46,104.09,101.15
0126T,Evaluation of thickness of common carotid artery (neck),N,O,1,27,27,27,450.00,0.01,0.01,0.01
01270,Anesthesia for procedure on arteries of upper leg,N,F,25224,56711,55961,56638,2309.23,361.98,281.94,282.65
01270,Anesthesia for procedure on arteries of upper leg,N,O,34,75,70,75,2127.92,353.68,276.28,274.15
01272,Anesthesia for groin artery bypass graft and tying of upper leg artery,N,F,175,213,212,213,1451.31,259.14,202.67,207.79
01274,Anesthesia for removal of groin artery blood clot,N,F,5054,5905,5865,5899,1702.31,267.13,207.69,207.87
01320,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and/or bursae of knee",N,F,10450,13326,12977,13322,1015.37,159.28,123.19,124.03
01320,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and/or bursae of knee",N,O,33,141,107,141,848.79,121.85,94.96,92.09
01340,Anesthesia for closed procedure on lower one-third of thigh bone,N,F,833,882,882,882,1090.54,172.60,133.88,134.49
01360,Anesthesia for open procedure on lower one-third of thigh bone,N,F,11948,15322,15282,15319,1525.85,236.35,183.60,184.98
01380,Anesthesia for closed procedure on knee joint,N,F,9047,12196,12044,12192,517.50,80.32,61.81,62.15
01380,Anesthesia for closed procedure on knee joint,N,O,46,545,238,545,310.11,94.29,70.43,63.96
01382,Anesthesia for diagnostic examination of knee joint using an endoscope,N,F,3608,6592,6576,6592,761.23,120.02,92.55,93.85
01390,Anesthesia for closed procedure at kneecap and/or upper foreleg bones,N,F,1093,1151,1142,1151,850.33,130.83,100.94,101.74
01392,Anesthesia for open procedure at kneecap and upper foreleg bones,N,F,15880,21012,20853,21007,1306.43,201.13,155.39,156.49
01400,Anesthesia for open or endoscopic procedure on knee including,N,F,44232,195587,194520,195533,879.27,142.90,110.35,111.50
01400,Anesthesia for open or endoscopic procedure on knee including,N,O,21,24,24,24,1066.08,204.20,152.97,232.54
01402,Anesthesia for open or endoscopic total knee joint replacement,N,F,50128,414923,411831,414805,1608.59,257.71,200.24,201.80
