HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
00160 ,Anesthesia for procedure on nose and sinus ,N ,O ,144,696,689,696,1012.57,200.25,156.70,157.88
00162 ,Anesthesia for surgery of nose and sinus ,N ,F ,784,875,873,875,2719.18,380.00,296.16,296.02
00164 ,Anesthesia for soft tissue biopsy on nose and sinus ,N ,F ,203,257,256,257,855.73,134.08,103.02,105.29
00170 ,Anesthesia for procedure on mouth including biopsy ,N ,F ,19157,33913,33786,33898,1142.39,170.34,129.45,130.36
00170 ,Anesthesia for procedure on mouth including biopsy ,N ,O ,116,794,684,793,645.96,150.71,116.46,118.43
00172 ,Anesthesia for procedure on mouth to repair palate deformity ,N ,F ,92,95,95,95,1832.87,250.70,189.29,194.96
00174 ,Anesthesia for procedure on throat for removal of tumor ,N ,F ,19,21,21,21,1139.33,225.16,176.42,178.77
00176 ,Anesthesia for surgery on mouth ,N ,F ,1795,2116,2108,2116,3304.53,469.12,365.67,362.86
00190 ,Anesthesia for procedure on facial bones or skull ,N ,F ,8731,11747,11685,11743,1511.15,216.21,167.01,166.94
00190 ,Anesthesia for procedure on facial bones or skull ,N ,O ,11,14,14,14,1969.05,240.88,188.85,184.56
00192 ,Anesthesia for surgery of facial bones or skull ,N ,F ,2262,2592,2589,2591,2370.46,333.52,260.03,260.22
0019T ,Low energy shock wave therapy of musculoskeletal system ,N ,O ,52,1555,547,1417,377.67,266.06,207.59,207.59
00210 ,Anesthesia for procedure on brain ,N ,F ,16712,35793,35499,35775,2968.37,446.62,347.75,346.25
00211 ,Anesthesia for procedure to remove blood collection in brain ,N ,F ,11192,15747,15604,15724,2272.34,329.46,256.90,255.24
00212 ,Anesthesia for procedure to remove fluid in brain ,N ,F ,86,90,90,90,1203.78,167.18,128.68,130.30
00214 ,Anesthesia for procedure to create holes in skull including X-ray imaging ,N ,F ,7531,9739,9701,9736,1813.91,266.70,207.74,207.52
00215 ,Anesthesia for procedure to repair skull or skull fracture ,N ,F ,1810,1994,1985,1994,2275.50,335.63,261.11,259.97
00216 ,Anesthesia for procedure on blood vessel in brain ,N ,F ,2321,3002,2987,2999,3850.76,581.88,453.52,451.14
00218 ,Anesthesia for procedure on brain patient in sitting position ,N ,F ,479,566,564,566,3202.94,499.53,389.32,384.76
00220 ,Anesthesia for procedure to drain brain and spinal cord fluid ,N ,F ,8956,13103,12910,13096,2045.77,299.25,232.99,231.96
00222 ,Anesthesia for procedure on nerve in brain ,N ,F ,463,686,678,683,1036.97,174.89,135.85,132.78
00300 ,Anesthesia for procedure on esophagus and neck ,N ,F ,58722,249106,244343,249004,1135.25,168.25,130.14,131.10
00300 ,Anesthesia for procedure on esophagus and neck ,N ,O ,256,1165,977,1165,830.85,153.07,116.52,122.00
00320 ,"Anesthesia for procedure on esophagus and neck, age 1 year or older ",N ,F ,49365,170191,168700,170109,1444.26,209.80,162.82,163.12
00320 ,"Anesthesia for procedure on esophagus and neck, age 1 year or older ",N ,O ,45,105,105,105,844.85,192.16,150.65,151.77
00322 ,Anesthesia for needle biopsy of thyroid ,N ,F ,139,161,160,161,768.64,109.04,84.82,83.82
00322 ,Anesthesia for needle biopsy of thyroid ,N ,O ,8,34,33,34,603.60,131.90,103.41,104.22
00350 ,Anesthesia for procedure on major blood vessels of neck ,N ,F ,25339,65128,64492,65003,2240.89,339.45,264.21,265.87
00352 ,Anesthesia for tying procedure on major blood vessels of neck ,N ,F ,9586,12048,12026,12047,1014.86,149.88,116.65,116.99
00400 ,"Anesthesia for procedure on skin of arms, legs, or trunk ",N ,F ,66664,414823,407526,414685,859.39,122.71,94.78,94.94
00400 ,"Anesthesia for procedure on skin of arms, legs, or trunk ",N ,O ,362,1863,1730,1861,1242.34,130.47,101.20,95.86
00402 ,Anesthesia for breast reconstruction ,N ,F ,20471,35792,35238,35776,1744.29,253.39,195.10,195.60
00402 ,Anesthesia for breast reconstruction ,N ,O ,27,27,27,27,1659.35,246.68,186.36,178.49
00404 ,Anesthesia for removal of breast ,N ,F ,9132,12862,12828,12858,1537.53,236.77,184.16,185.51
00406 ,Anesthesia for removal of breast and lymph nodes ,N ,F ,333,452,451,452,2285.90,371.11,290.38,296.10
00410 ,Anesthesia for procedure to correct abnormal heart rhythm ,N ,F ,27065,90752,89232,90700,600.70,86.42,66.67,66.72
00410 ,Anesthesia for procedure to correct abnormal heart rhythm ,N ,O ,18,43,43,43,898.23,109.88,86.26,84.29
0042T ,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast ",N ,F ,131,377,373,377,412.19,32.77,25.46,25.46
00450 ,Anesthesia for procedure on collar bone and shoulder blade ,N ,F ,4597,5094,5071,5094,1373.77,206.47,159.51,161.49
00454 ,Anesthesia for biopsy of collar bone ,N ,F ,169,211,211,211,842.62,111.80,86.78,82.57
00470 ,Anesthesia for partial removal of rib ,N ,F ,2013,2185,2180,2184,1574.07,229.32,177.59,177.75
00472 ,Anesthesia for partial removal of rib and chest wall repair ,N ,F ,287,298,298,298,2568.43,375.78,292.76,292.26
00474 ,Anesthesia for partial removal of rib and chest wall reconstruction ,N ,F ,191,201,199,201,2989.90,435.25,335.38,344.98
00500 ,Anesthesia for procedure on esophagus ,N ,F ,2411,3263,3247,3263,4010.22,642.26,500.31,498.18
00520 ,Anesthesia for closed procedure in chest ,N ,F ,35764,128390,126258,128349,1141.57,164.11,127.54,127.46
00520 ,Anesthesia for closed procedure in chest ,N ,O ,21,26,26,26,1188.66,204.55,160.37,157.57
00522 ,Anesthesia for closed needle biopsy of lung ,N ,F ,1392,2348,2338,2347,1062.21,128.44,100.04,96.49
00522 ,Anesthesia for closed needle biopsy of lung ,N ,O ,13,50,50,50,1435.88,160.95,122.47,126.44
00524 ,Anesthesia for closed drainage of lung fluid ,N ,F ,1044,1203,1189,1202,943.21,132.93,103.58,103.64
00528 ,Anesthesia for closed diagnostic examination of chest using an endoscope ,N ,F ,6726,9843,9821,9837,1734.35,256.15,199.50,199.24
00529 ,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation ,N ,F ,4289,5787,5784,5786,2233.85,334.40,260.41,260.40
00530 ,Anesthesia for insertion of permanent heart pacemaker ,N ,F ,20650,65779,65596,65760,1261.25,174.12,135.34,133.17
00532 ,Anesthesia for central vein access ,N ,F ,41135,137598,136248,137554,905.21,132.79,103.02,103.77
00532 ,Anesthesia for central vein access ,N ,O ,162,1057,1006,1057,1125.21,170.62,133.13,127.91
00534 ,Anesthesia for insertion or replace of pacing heart defibrillator ,N ,F ,18514,56332,56104,56309,1661.03,233.05,181.04,179.59
00534 ,Anesthesia for insertion or replace of pacing heart defibrillator ,N ,O ,10,14,14,14,1869.38,284.87,206.79,214.11
00537 ,Anesthesia for procedure on heart to correct abnormal rhythm ,N ,F ,21229,90616,90038,90580,2509.29,327.81,254.79,253.09
00539 ,Anesthesia for reconstruction of windpipe and lung airway ,N ,F ,208,219,218,218,4016.77,631.63,494.46,493.94
00540 ,Anesthesia for procedure in chest ,N ,F ,8092,12878,12819,12872,2610.60,387.06,301.34,300.74
00541 ,Anesthesia for procedure in chest with 1 lung ventilation ,N ,F ,16793,43524,43330,43502,3055.53,476.05,371.25,370.05
00542 ,Anesthesia for removal of lung lining ,N ,F ,5171,6629,6607,6628,3059.48,455.53,355.67,354.35
00546 ,Anesthesia for lung removal and chest wall repair ,N ,F ,66,85,85,85,3134.23,570.97,447.52,451.65
00548 ,Anesthesia for procedure on windpipe and lung airway ,N ,F ,207,265,264,265,3135.82,502.46,387.63,401.61
0054T ,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation ",N ,F ,7,131,129,131,400.75,143.19,112.26,112.26
00550 ,Anesthesia for removal of breast bone tissue ,N ,F ,3646,5033,4854,5028,2103.81,327.58,254.64,255.16
00550 ,Anesthesia for removal of breast bone tissue ,N ,O ,8,13,13,13,934.96,179.59,140.80,144.76
0055T ,Musculoskeletal surgical navigational orthopedic operation using imaging guidance ,N ,F ,21,107,104,105,562.57,137.54,107.83,107.83
00560 ,Anesthesia for procedure on heart and great blood vessels ,N ,F ,10283,39916,39632,39845,3059.70,484.62,378.64,374.90
00561 ,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, younger than 1 year of age ",N ,F ,57,64,64,64,3994.98,777.34,609.44,629.78
00562 ,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure ",N ,F ,9814,62265,62099,62222,4624.31,789.11,616.21,615.04
00563 ,Anesthesia for procedure on heart and great blood vessels on heart-lung machine ,N ,F ,2001,5177,5165,5176,5777.20,963.75,751.17,749.80
00566 ,Anesthesia for heart artery bypass grafting ,N ,F ,3342,9732,9723,9729,4842.04,801.85,626.20,629.45
00567 ,Anesthesia for heart artery bypass grafting on heart-lung machine ,N ,F ,10315,64145,64057,64106,4340.92,705.83,551.15,554.97
00580 ,Anesthesia for heart or heart-lung transplant ,N ,F ,790,1544,1535,1539,6500.25,1093.99,850.64,845.44
00600 ,Anesthesia for procedure on upper spine and spinal cord ,N ,F ,11204,20030,19437,20023,2222.98,328.75,254.49,257.85
00600 ,Anesthesia for procedure on upper spine and spinal cord ,N ,O ,35,288,181,288,1119.05,270.37,208.82,206.26
00604 ,"Anesthesia for procedure on spine and spinal cord, patient in sitting position ",N ,F ,326,365,365,365,2727.78,414.39,321.50,324.85
00620 ,Anesthesia for procedure on middle spine and spinal cord ,N ,F ,7695,10886,10772,10882,2161.78,323.90,251.10,253.27
00620 ,Anesthesia for procedure on middle spine and spinal cord ,N ,O ,25,76,66,76,746.32,283.72,220.30,225.21
00625 ,Anesthesia for procedure on middle spine and spinal cord ,N ,F ,532,587,582,587,3593.14,505.97,395.50,396.55
00626 ,Anesthesia for procedure on middle spine and spinal cord with 1 lung ventilation ,N ,F ,241,259,258,259,3929.30,562.05,437.36,435.66
00630 ,Anesthesia for procedure on lower spine ,N ,F ,38198,133773,130532,133733,1814.59,272.80,211.50,213.91
00630 ,Anesthesia for procedure on lower spine ,N ,O ,95,1820,1108,1819,1182.79,211.14,162.99,161.90
00632 ,Anesthesia for removal of nerves in lower spine ,N ,F ,60,66,66,66,1768.57,206.01,160.72,164.36
00635 ,Anesthesia for spinal tap ,N ,F ,2052,2830,2464,2830,980.17,149.42,115.93,117.39
00635 ,Anesthesia for spinal tap ,N ,O ,9,30,30,30,785.41,122.25,75.95,80.49
00640 ,Anesthesia for closed manipulation of spine ,N ,F ,994,1261,1248,1261,945.73,126.95,99.00,97.12
00640 ,Anesthesia for closed manipulation of spine ,N ,O ,11,15,13,14,619.14,125.98,98.77,93.71
00670 ,Anesthesia for procedure on spine and spinal cord ,N ,F ,41647,233550,232003,233481,2967.81,442.17,343.54,346.26
00670 ,Anesthesia for procedure on spine and spinal cord ,N ,O ,12,25,21,25,1784.34,242.06,189.78,187.52
00700 ,Anesthesia for procedure on upper front abdominal wall ,N ,F ,13939,19728,19470,19720,1109.74,150.21,116.31,115.91
00700 ,Anesthesia for procedure on upper front abdominal wall ,N ,O ,22,33,31,33,971.49,160.33,125.70,124.17
00702 ,Anesthesia for liver biopsy (accessed through the skin) ,N ,F ,1342,1785,1782,1785,1075.33,133.70,103.02,101.11
00702 ,Anesthesia for liver biopsy (accessed through the skin) ,N ,O ,17,39,39,39,1099.80,173.58,136.09,131.01
00730 ,Anesthesia for procedure on upper rear abdominal wall ,N ,F ,1233,1471,1430,1471,1103.83,156.70,120.45,120.44
00740 ,Anesthesia for procedure on gastrointestinal tract using an endoscope ,N ,F ,67880,1757910,1719825,1756865,806.65,118.89,91.83,91.83
00740 ,Anesthesia for procedure on gastrointestinal tract using an endoscope ,N ,O ,1351,36668,35640,36664,1159.49,157.21,121.47,112.54
00750 ,Anesthesia for procedure to repair upper abdominal hernia ,N ,F ,16951,23829,23818,23826,980.40,147.94,113.47,114.62
00752 ,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening ,N ,F ,25762,44810,44751,44806,1482.01,226.66,174.96,176.34
00754 ,Anesthesia for procedure to repair upper abdominal hernia present at birth ,N ,F ,50,64,64,64,1328.47,232.88,171.25,174.90
00756 ,Anesthesia for procedure to repair abdominal hernia ,N ,F ,382,415,414,415,2037.04,329.55,255.98,259.80
0075T ,"Insertion of stents into vertebral artery via catheter, open or accessed through the skin including radiologic supervision and interpretation ",N ,F ,22,25,25,25,4457.16,837.89,653.60,653.67
00770 ,Anesthesia for procedure on major abdominal blood vessels ,N ,F ,6946,9141,9105,9126,3454.60,535.35,416.39,419.22
00770 ,Anesthesia for procedure on major abdominal blood vessels ,N ,O ,9,482,430,482,2790.04,509.60,399.53,406.45
00790 ,Anesthesia for procedure in upper abdomen including use of an endoscope ,N ,F ,63860,481185,478418,481020,1711.17,257.28,199.73,200.63
00790 ,Anesthesia for procedure in upper abdomen including use of an endoscope ,N ,O ,41,47,46,47,1447.72,258.20,199.16,196.72
00792 ,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope ,N ,F ,3582,4977,4970,4976,3392.93,522.26,407.10,402.67
00794 ,Anesthesia for removal of pancreas including use of an endoscope ,N ,F ,5506,8110,8103,8109,3512.94,514.90,400.86,397.83
00796 ,Anesthesia for liver transplant recipient including use of an endoscope ,N ,F ,749,1768,1748,1766,6975.36,1234.12,962.08,950.73
00797 ,Anesthesia for procedure on stomach for obesity including use of an endoscope ,N ,F ,13826,31385,31314,31378,2201.07,319.57,247.52,249.11
00800 ,Anesthesia for procedure on lower front abdominal wall ,N ,F ,18822,26824,26532,26815,966.20,136.33,105.45,106.07
00800 ,Anesthesia for procedure on lower front abdominal wall ,N ,O ,23,33,30,33,1019.59,134.67,105.58,103.61
00802 ,Anesthesia for removal of excess tissue on lower abdominal wall ,N ,F ,2588,2921,2920,2920,1816.92,263.71,203.54,204.64
00810 ,Anesthesia for procedure on lower intestine using an endoscope ,N ,F ,62665,2157427,2145009,2156320,812.41,125.45,99.24,99.40
00810 ,Anesthesia for procedure on lower intestine using an endoscope ,N ,O ,1553,68645,68028,68636,1173.81,169.58,133.28,123.75
00820 ,Anesthesia for procedure on lower rear abdominal wall ,N ,F ,1952,2477,2418,2476,1192.45,160.19,123.88,121.89
00830 ,Anesthesia for lower abdominal hernia repair ,N ,F ,44256,122299,122061,122278,1082.00,162.54,125.11,125.39
00830 ,Anesthesia for lower abdominal hernia repair ,N ,O ,17,19,19,19,1124.70,199.84,156.67,246.41
00832 ,Anesthesia for middle or incisional abdominal hernia repair ,N ,F ,16271,26102,26062,26097,1536.07,220.88,170.57,171.91
00834 ,"Anesthesia for lower abdominal hernia repair, child younger than 1 year of age ",N ,F ,12,12,12,12,967.87,155.54,121.95,123.76
00836 ,"Anesthesia for lower abdominal hernia repair, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery ",N ,F ,11,11,11,11,1464.30,200.87,146.93,147.30
00840 ,Anesthesia for procedure in lower abdominal cavity including use of an endoscope ,N ,F ,58907,270477,269090,270407,1669.94,243.67,188.68,189.67
00840 ,Anesthesia for procedure in lower abdominal cavity including use of an endoscope ,N ,O ,50,58,58,58,1402.56,227.46,175.86,170.26
00844 ,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope ,N ,F ,3569,4105,4096,4104,2711.18,395.23,307.75,309.04
00846 ,Anesthesia for removal of uterus including use of an endoscope ,N ,F ,6589,9554,9544,9551,2403.66,345.74,269.26,267.58
00848 ,Anesthesia for removal of pelvic organs including use of an endoscope ,N ,F ,634,684,684,684,3860.96,537.37,419.05,414.39
00851 ,Anesthesia for tying or incision of fallopian tubes using an endoscope ,N ,F ,1428,1525,1523,1524,1065.06,164.29,125.49,128.49
00860 ,Anesthesia for procedure in lower abdomen including urinary tract ,N ,F ,29187,55988,55730,55973,1509.11,221.16,171.34,172.02
00860 ,Anesthesia for procedure in lower abdomen including urinary tract ,N ,O ,30,81,72,81,2043.99,216.53,167.10,158.41
00862 ,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant ,N ,F ,26838,54439,54120,54397,2099.24,304.88,238.23,238.06
00862 ,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant ,N ,O ,16,22,22,22,1086.79,229.81,180.17,178.10
00864 ,Anesthesia for removal of urinary bladder ,N ,F ,4282,5804,5802,5804,3497.77,506.27,394.88,391.75
00865 ,Anesthesia for removal of prostate ,N ,F ,14551,25833,25826,25827,2361.08,351.21,271.87,273.05
00866 ,Anesthesia for removal of adrenal gland ,N ,F ,1813,1968,1964,1968,2615.92,388.75,302.03,302.36
00868 ,Anesthesia for kidney transplant ,N ,F ,6218,13722,13679,13713,3174.25,457.75,355.07,353.61
00870 ,Anesthesia for removal of urinary bladder stone ,N ,F ,826,1021,1017,1021,1186.44,181.89,141.50,141.25
00872 ,Anesthesia for shock wave therapy for urinary system stones ,N ,F ,1291,3540,3456,3540,1205.77,188.98,146.14,145.49
00872 ,Anesthesia for shock wave therapy for urinary system stones ,N ,O ,8,15,15,15,2563.67,255.84,189.90,186.93
00873 ,Anesthesia for shock wave therapy for urinary system stones ,N ,F ,23682,76116,74056,76090,966.93,149.15,115.41,116.47
00873 ,Anesthesia for shock wave therapy for urinary system stones ,N ,O ,26,97,90,97,1110.12,189.97,148.63,150.26
00880 ,Anesthesia for procedure on major lower abdominal wall blood vessels ,N ,F ,5749,7550,7528,7545,3367.05,520.95,406.18,408.64
00880 ,Anesthesia for procedure on major lower abdominal wall blood vessels ,N ,O ,9,16,16,16,5727.50,457.65,358.80,363.99
00882 ,Anesthesia for tying of major vein in lower abdomen ,N ,F ,256,337,336,337,1671.65,238.73,185.82,187.41
00902 ,Anesthesia for procedure on anus and rectum ,N ,F ,39188,96218,95313,96194,964.72,143.51,110.48,111.16
00902 ,Anesthesia for procedure on anus and rectum ,N ,O ,274,2453,2382,2453,862.34,156.00,120.32,117.72
00904 ,Anesthesia for procedure on perineum ,N ,F ,4538,5246,5170,5239,1779.23,256.56,198.97,199.85
00906 ,Anesthesia for removal of external female genitalia ,N ,F ,3155,3572,3565,3572,988.11,141.15,109.03,109.49
00908 ,Anesthesia for removal of prostate ,N ,F ,263,292,292,292,2180.23,285.80,222.81,222.49
00910 ,Anesthesia for procedure on urinary system including use of an endoscope ,N ,F ,56652,358814,349854,358716,713.38,102.17,78.89,79.02
00910 ,Anesthesia for procedure on urinary system including use of an endoscope ,N ,O ,407,4908,4528,4908,1029.99,123.02,95.49,90.10
00912 ,Anesthesia for removal of urinary bladder tumors including use of an endoscope ,N ,F ,39531,113922,111920,113904,1020.96,150.78,117.00,116.68
00912 ,Anesthesia for removal of urinary bladder tumors including use of an endoscope ,N ,O ,83,276,266,276,957.47,182.95,143.43,134.53
00914 ,Anesthesia for removal of prostate including use of an endoscope ,N ,F ,36879,105060,104763,105037,1181.46,178.39,138.33,138.47
00914 ,Anesthesia for removal of prostate including use of an endoscope ,N ,O ,187,949,945,949,1689.30,216.58,168.55,158.25
00916 ,Anesthesia for procedure to control urinary system bleeding including use of an endoscope ,N ,F ,1247,1498,1494,1498,1067.68,164.80,128.12,128.39
00918 ,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope ",N ,F ,37554,105398,104166,105383,1091.00,159.67,123.69,124.62
00918 ,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope ",N ,O ,37,45,45,45,1404.54,162.17,126.53,123.51
00920 ,Anesthesia for procedure on male genitalia ,N ,F ,23624,38703,38467,38694,885.50,130.63,100.45,101.25
00920 ,Anesthesia for procedure on male genitalia ,N ,O ,58,77,76,77,1173.63,146.00,111.94,107.48
00921 ,Anesthesia for vasectomy ,N ,F ,140,141,141,141,896.33,115.54,84.34,85.90
00922 ,Anesthesia for procedure on male genitalia glands ,N ,F ,51,53,53,53,1554.43,195.23,151.12,151.61
00924 ,Anesthesia for repair of undescended testicle ,N ,F ,46,49,47,47,1170.58,157.02,122.58,122.68
00926 ,Anesthesia for removal of testicle through groin ,N ,F ,1358,1391,1390,1391,1050.91,160.57,124.43,125.34
00928 ,Anesthesia for removal of testicle through abdomen ,N ,F ,68,69,69,69,1359.79,230.14,178.33,176.99
00930 ,Anesthesia for relocation of undescended testicle into scrotum ,N ,F ,317,322,322,322,1164.27,164.31,125.82,125.74
00932 ,Anesthesia for removal of penis ,N ,F ,177,178,178,178,1714.28,241.59,189.20,191.10
00934 ,Anesthesia for removal of penis and lymph nodes on both sides of groin ,N ,F ,39,40,40,40,2258.22,292.38,227.25,221.82
00936 ,Anesthesia for removal of penis and lymph nodes on both sides of groin ,N ,F ,18,20,20,20,1967.85,222.64,160.32,183.55
00938 ,Anesthesia for insertion of penile prosthesis ,N ,F ,6610,9848,9798,9845,1445.79,202.64,156.28,155.83
00938 ,Anesthesia for insertion of penile prosthesis ,N ,O ,9,13,13,13,1248.15,148.81,116.67,116.38
00940 ,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia ",N ,F ,21706,33443,33079,33429,774.21,109.96,84.38,84.78
00940 ,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia ",N ,O ,77,190,185,190,796.17,170.40,130.41,126.99
00942 ,Anesthesia for repair or removal of vagina and urinary procedure ,N ,F ,14340,20598,20568,20591,1215.59,178.75,137.78,139.08
00944 ,Anesthesia for vaginal removal of uterus ,N ,F ,13279,18601,18593,18597,1720.73,261.14,201.75,203.59
00948 ,Anesthesia for suture closure of cervix ,N ,F ,264,266,266,266,899.82,130.14,99.48,98.98
00950 ,Anesthesia for examination of cervix using an endoscope ,N ,F ,35,36,36,36,990.82,170.13,133.38,135.07
00952 ,Anesthesia for examination of uterus using an endoscope ,N ,F ,30500,62637,62527,62631,834.36,120.90,93.10,92.97
00952 ,Anesthesia for examination of uterus using an endoscope ,N ,O ,181,470,467,469,1130.75,160.04,123.75,118.31
0101T ,High energy shock wave therapy of musculoskeletal system ,N ,F ,1,16,13,14,1420.94,1243.64,969.57,972.97
0101T ,High energy shock wave therapy of musculoskeletal system ,N ,O ,3,19,11,19,794.74,326.13,255.69,255.69
01112 ,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone ,N ,F ,6065,16447,16197,16446,824.36,119.64,92.19,93.36
01112 ,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone ,N ,O ,44,351,337,351,1014.20,165.99,128.43,126.52
01120 ,Anesthesia for procedure on pelvic bone ,N ,F ,4839,5800,5749,5798,1445.37,213.13,165.41,166.31
01130 ,Anesthesia for application or revision of body cast ,N ,F ,14,14,14,14,965.94,128.60,100.82,100.97
01140 ,Anesthesia for amputation of leg including pelvic bone ,N ,F ,40,40,40,40,4322.04,665.96,522.64,519.12
01150 ,Anesthesia for removal of pelvic bone tumor ,N ,F ,345,369,367,369,2903.08,399.15,311.59,307.42
01160 ,Anesthesia for procedure on pubic bone or sacroiliac joint ,N ,F ,1819,4936,4554,4935,1016.69,116.12,89.67,89.79
01160 ,Anesthesia for procedure on pubic bone or sacroiliac joint ,N ,O ,76,458,370,458,1062.93,110.59,85.40,84.70
01170 ,Anesthesia for open procedure on pubic bone or sacroiliac joint ,N ,F ,2338,3050,3034,3050,1772.12,253.24,196.01,197.82
01173 ,Anesthesia for open repair of pelvic fracture ,N ,F ,1700,1927,1919,1926,2969.19,422.34,328.67,330.67
01180 ,Anesthesia for removal of external pelvic nerve ,N ,F ,10,11,11,11,904.93,242.74,190.31,190.57
01200 ,Anesthesia for closed procedure on hip joint ,N ,F ,13268,21681,21020,21644,737.99,104.83,80.81,81.15
01200 ,Anesthesia for closed procedure on hip joint ,N ,O ,199,701,625,701,746.04,109.04,83.58,83.84
01202 ,Anesthesia for procedure on hip joint using an endoscope ,N ,F ,2434,3156,3143,3156,1236.79,187.36,143.36,146.19
01210 ,Anesthesia for open surgical procedure on hip joint ,N ,F ,35411,93429,92975,93402,1523.81,228.62,177.80,177.96
01210 ,Anesthesia for open surgical procedure on hip joint ,N ,O ,13,22,21,22,902.38,138.62,108.68,105.67
01212 ,Anesthesia for open hip joint dislocation ,N ,F ,297,308,305,307,2573.62,348.72,269.78,272.01
01214 ,Anesthesia for open total hip joint replacement ,N ,F ,44654,213406,212532,213356,1830.65,274.14,213.30,213.67
01214 ,Anesthesia for open total hip joint replacement ,N ,O ,22,23,23,23,1151.58,283.13,221.97,224.98
01215 ,Anesthesia for open revision of total hip joint replacement ,N ,F ,18815,31885,31564,31871,2398.91,353.88,275.68,275.61
01220 ,Anesthesia for closed procedure on upper two-thirds of thigh bone ,N ,F ,12149,16610,16588,16604,1095.58,158.21,122.65,123.11
01230 ,Anesthesia for open procedure on upper two-thirds of thigh bone ,N ,F ,46860,172127,171648,172083,1503.23,221.84,172.33,172.30
